,Year,LifeExpectancy
1496,2009,59.2
1497,2008,58.6
1498,2007,57.9
1499,2006,56.7
1500,2005,55.3
1501,2004,54.0
1502,2003,50.0
1503,2002,56.0
1504,2001,51.5
1505,2000,51.9
1506,2015,72.7
1507,2014,72.4
1508,2013,72.9
1509,2012,72.9
1510,2011,71.3
1511,2010,72.8
1512,2009,72.7
1513,2008,72.6
1514,2007,72.5
1515,2006,72.2
1516,2005,71.9
1517,2004,71.5
1518,2003,71.3
1519,2002,71.1
1520,2001,71.0
1521,2000,78.0
1522,2015,73.6
1523,2014,73.4
1524,2013,73.0
1525,2012,73.0
1526,2011,72.8
1527,2010,72.4
1528,2009,72.2
1529,2008,71.1
1530,2007,72.0
1531,2006,76.0
1532,2005,78.0
1533,2004,71.6
1534,2003,71.6
1535,2002,71.4
1536,2001,71.2
1537,2000,71.6
1538,2015,82.0
1539,2014,81.7
1540,2013,81.4
1541,2012,81.1
1542,2011,88.0
1543,2010,86.0
1544,2009,83.0
1545,2008,80.0
1546,2007,79.7
1547,2006,79.4
1548,2005,78.8
1549,2004,78.7
1550,2003,78.6
1551,2002,78.3
1552,2001,78.0
1553,2000,77.8
1554,2015,65.5
1555,2014,65.1
1556,2013,64.7
1557,2012,64.3
1558,2011,63.8
1559,2010,63.3
1560,2009,62.8
1561,2008,62.3
1562,2007,61.9
1563,2006,61.4
1564,2005,69.0
1565,2004,64.0
1566,2003,59.9
1567,2002,59.3
1568,2001,58.7
1569,2000,57.9
1570,2015,58.3
1571,2014,57.6
1572,2013,56.7
1573,2012,55.3
1574,2011,54.1
1575,2010,52.9
1576,2009,51.5
1577,2008,50.0
1578,2007,48.5
1579,2006,47.1
1580,2005,46.0
1581,2004,45.1
1582,2003,44.6
1583,2002,44.0
1584,2001,43.5
1585,2000,43.1
1586,2015,75.0
1587,2014,74.8
1588,2013,74.6
1589,2012,74.5
1590,2011,74.3
1591,2010,74.1
1592,2009,74.0
1593,2008,73.8
1594,2007,73.7
1595,2006,73.6
1596,2005,73.4
1597,2004,73.2
1598,2003,73.1
1599,2002,72.9
1600,2001,72.7
1601,2000,72.4
1602,2015,78.5
1603,2014,78.2
1604,2013,77.9
1605,2012,77.6
1606,2011,77.3
1607,2010,76.7
1608,2009,76.3
1609,2008,75.9
1610,2007,75.4
1611,2006,75.0
1612,2005,74.3
1613,2004,73.4
1614,2003,72.7
1615,2002,71.8
1616,2001,78.0
1617,2000,69.6
1618,2015,58.2
1619,2014,57.8
1620,2013,57.3
1621,2012,57.2
1622,2011,56.8
1623,2010,56.5
1624,2009,56.0
1625,2008,55.5
1626,2007,55.0
1627,2006,54.3
1628,2005,53.6
1629,2004,52.8
1630,2003,52.0
1631,2002,51.2
1632,2001,55.0
1633,2000,49.8
1634,2015,81.7
1635,2014,81.4
1636,2013,81.1
1637,2012,81.0
1638,2011,87.0
1639,2010,83.0
1640,2009,82.0
1641,2008,80.0
1642,2007,79.6
1643,2006,79.3
1644,2005,79.0
1645,2004,78.7
1646,2003,78.5
1647,2002,78.2
1648,2001,77.8
1649,2000,77.5
1650,2013,69.22493169398908
1651,2015,63.1
1652,2014,63.0
1653,2013,62.7
1654,2012,62.5
1655,2011,62.2
1656,2010,62.0
1657,2009,61.7
1658,2008,61.4
1659,2007,61.2
1660,2006,69.0
1661,2005,66.0
1662,2004,64.0
1663,2003,63.0
1664,2002,62.0
1665,2001,61.0
1666,2000,60.0
1667,2015,74.6
1668,2014,74.2
1669,2013,74.1
1670,2012,73.9
1671,2011,73.6
1672,2010,73.3
1673,2009,72.8
1674,2008,72.7
1675,2007,72.9
1676,2006,71.8
1677,2005,72.1
1678,2004,71.9
1679,2003,71.5
1680,2002,71.5
1681,2001,71.5
1682,2000,71.0
1683,2015,76.7
1684,2014,76.6
1685,2013,76.6
1686,2012,76.3
1687,2011,76.1
1688,2010,75.6
1689,2009,75.7
1690,2008,75.6
1691,2007,76.0
1692,2006,75.8
1693,2005,75.3
1694,2004,75.4
1695,2003,75.0
1696,2002,75.0
1697,2001,75.0
1698,2000,74.8
1699,2015,69.4
1700,2014,69.4
1701,2013,69.2
1702,2012,69.0
1703,2011,68.9
1704,2010,68.7
1705,2009,68.5
1706,2008,68.4
1707,2007,68.2
1708,2006,68.0
1709,2005,67.9
1710,2004,67.7
1711,2003,67.5
1712,2002,66.2
1713,2001,67.2
1714,2000,67.0
1715,2013,69.22493169398908
1716,2015,68.8
1717,2014,68.4
1718,2013,68.1
1719,2012,67.8
1720,2011,67.3
1721,2010,66.3
1722,2009,66.9
1723,2008,67.4
1724,2007,65.9
1725,2006,65.0
1726,2005,64.5
1727,2004,64.0
1728,2003,64.0
1729,2002,63.8
1730,2001,63.2
1731,2000,62.8
1732,2015,76.1
1733,2014,75.9
1734,2013,75.8
1735,2012,75.6
1736,2011,75.4
1737,2010,75.3
1738,2009,75.0
1739,2008,74.6
1740,2007,74.2
1741,2006,73.8
1742,2005,73.6
1743,2004,73.5
1744,2003,73.5
1745,2002,73.4
1746,2001,73.3
1747,2000,73.0
1748,2015,74.3
1749,2014,74.1
1750,2013,73.9
1751,2012,73.6
1752,2011,73.3
1753,2010,72.8
1754,2009,72.3
1755,2008,71.8
1756,2007,71.4
1757,2006,71.0
1758,2005,77.0
1759,2004,72.0
1760,2003,69.9
1761,2002,69.5
1762,2001,69.0
1763,2000,68.6
1764,2015,57.6
1765,2014,56.7
1766,2013,55.3
1767,2012,54.8
1768,2011,54.3
1769,2010,54.0
1770,2009,53.8
1771,2008,53.2
1772,2007,52.1
1773,2006,51.2
1774,2005,58.0
1775,2004,54.0
1776,2003,51.0
1777,2002,49.8
1778,2001,49.5
1779,2000,49.0
1780,2015,66.6
1781,2014,66.4
1782,2013,66.2
1783,2012,65.9
1784,2011,65.6
1785,2010,65.4
1786,2009,65.2
1787,2008,59.2
1788,2007,64.5
1789,2006,64.2
1790,2005,63.9
1791,2004,63.5
1792,2003,63.2
1793,2002,62.8
1794,2001,62.5
1795,2000,62.1
1796,2015,65.8
1797,2014,65.9
1798,2013,66.1
1799,2012,65.8
1800,2011,64.3
1801,2010,63.0
1802,2009,62.4
1803,2008,61.7
1804,2007,60.0
1805,2006,57.0
1806,2005,55.1
1807,2004,54.7
1808,2003,55.0
1809,2002,55.7
1810,2001,56.5
1811,2000,57.4
1812,2013,69.22493169398908
1813,2015,69.2
1814,2014,69.6
1815,2013,69.3
1816,2012,68.9
1817,2011,68.4
1818,2010,68.0
1819,2009,67.5
1820,2008,67.0
1821,2007,66.6
1822,2006,66.0
1823,2005,65.4
1824,2004,64.7
1825,2003,64.3
1826,2002,63.1
1827,2001,63.2
1828,2000,62.5
1829,2015,81.9
1830,2014,81.7
1831,2013,81.4
1832,2012,81.1
1833,2011,81.1
1834,2010,88.0
1835,2009,86.0
1836,2008,83.0
1837,2007,82.0
1838,2006,79.8
1839,2005,79.4
1840,2004,79.2
1841,2003,78.7
1842,2002,78.4
1843,2001,78.3
1844,2000,78.1
1845,2015,81.6
1846,2014,81.5
1847,2013,81.3
1848,2012,81.1
1849,2011,86.0
1850,2010,89.0
1851,2009,85.0
1852,2008,81.0
1853,2007,81.0
1854,2006,79.9
1855,2005,79.9
1856,2004,79.2
1857,2003,79.1
1858,2002,78.7
1859,2001,78.5
1860,2000,78.6
1861,2015,74.8
1862,2014,74.5
1863,2013,73.9
1864,2012,73.9
1865,2011,74.5
1866,2010,73.2
1867,2009,73.2
1868,2008,72.5
1869,2007,72.5
1870,2006,73.0
1871,2005,71.2
1872,2004,71.0
1873,2003,76.0
1874,2002,75.0
1875,2001,73.0
1876,2000,73.0
1877,2015,61.8
1878,2014,61.4
1879,2013,69.0
1880,2012,63.0
1881,2011,59.4
1882,2010,58.2
1883,2009,57.1
1884,2008,56.0
1885,2007,55.2
1886,2006,54.5
1887,2005,53.7
1888,2004,52.9
1889,2003,52.1
1890,2002,51.4
1891,2001,56.0
1892,2000,50.0
1893,2015,54.5
1894,2014,53.6
1895,2013,53.2
1896,2012,52.7
1897,2011,52.3
1898,2010,52.0
1899,2009,51.6
1900,2008,59.0
1901,2007,55.0
1902,2006,49.8
1903,2005,49.2
1904,2004,48.5
1905,2003,48.1
1906,2002,47.7
1907,2001,47.4
1908,2000,47.1
1909,2013,69.22493169398908
1910,2015,81.8
1911,2014,81.6
1912,2013,81.5
1913,2012,81.3
1914,2011,81.1
1915,2010,81.0
1916,2009,89.0
1917,2008,86.0
1918,2007,85.0
1919,2006,84.0
1920,2005,81.0
1921,2004,79.8
1922,2003,79.4
1923,2002,78.9
1924,2001,78.8
1925,2000,78.5
1926,2015,76.6
1927,2014,76.4
1928,2013,76.2
1929,2012,76.0
1930,2011,75.8
1931,2010,75.6
1932,2009,75.4
1933,2008,75.2
1934,2007,74.9
1935,2006,74.7
1936,2005,74.3
1937,2004,74.0
1938,2003,73.6
1939,2002,73.3
1940,2001,72.9
1941,2000,72.6
1942,2015,66.4
1943,2014,66.2
1944,2013,66.0
1945,2012,65.7
1946,2011,65.5
1947,2010,65.1
1948,2009,64.8
1949,2008,64.6
1950,2007,64.4
1951,2006,64.2
1952,2005,62.9
1953,2004,63.7
1954,2003,63.5
1955,2002,63.2
1956,2001,63.0
1957,2000,62.8
1958,2013,69.22493169398908
1959,2015,77.8
1960,2014,77.6
1961,2013,77.5
1962,2012,77.2
1963,2011,77.3
1964,2010,76.5
1965,2009,76.8
1966,2008,76.5
1967,2007,76.4
1968,2006,76.2
1969,2005,75.8
1970,2004,75.8
1971,2003,75.5
1972,2002,75.7
1973,2001,75.5
1974,2000,75.7
1975,2015,62.9
1976,2014,62.7
1977,2013,62.4
1978,2012,62.2
1979,2011,62.0
1980,2010,61.8
1981,2009,61.6
1982,2008,61.4
1983,2007,61.1
1984,2006,68.0
1985,2005,64.0
1986,2004,59.9
1987,2003,59.6
1988,2002,59.3
1989,2001,59.1
1990,2000,58.9
1991,2015,74.0
1992,2014,73.9
1993,2013,73.8
1994,2012,73.6
1995,2011,73.4
1996,2010,73.2
1997,2009,73.0
1998,2008,72.7
1999,2007,72.5
2000,2006,72.3
2001,2005,72.1
2002,2004,71.9
2003,2003,71.7
2004,2002,71.5
2005,2001,71.2
2006,2000,79.0
2007,2015,75.5
2008,2014,75.3
2009,2013,75.3
2010,2012,74.9
2011,2011,74.5
2012,2010,73.7
2013,2009,73.8
2014,2008,73.9
2015,2007,74.0
2016,2006,74.2
2017,2005,72.8
2018,2004,72.2
2019,2003,72.1
2020,2002,72.6
2021,2001,72.4
2022,2000,71.4
2023,2015,68.5
2024,2014,68.4
2025,2013,68.1
2026,2012,68.1
2027,2011,68.0
2028,2010,67.9
2029,2009,68.0
2030,2008,67.5
2031,2007,67.5
2032,2006,67.3
2033,2005,67.0
2034,2004,67.3
2035,2003,67.2
2036,2002,66.8
2037,2001,66.8
2038,2000,66.8
2039,2015,77.5
2040,2014,77.3
2041,2013,77.1
2042,2012,76.8
2043,2011,76.7
2044,2010,76.3
2045,2009,75.7
2046,2008,75.5
2047,2007,75.3
2048,2006,75.2
2049,2005,75.0
2050,2004,74.9
2051,2003,74.7
2052,2002,74.5
2053,2001,74.2
2054,2000,73.7
2055,2015,81.1
2056,2014,89.0
2057,2013,86.0
2058,2012,83.0
2059,2011,82.0
2060,2010,79.6
2061,2009,79.3
2062,2008,79.0
2063,2007,78.7
2064,2006,78.5
2065,2005,77.7
2066,2004,78.0
2067,2003,77.3
2068,2002,77.2
2069,2001,76.9
2070,2000,76.6
2071,2015,78.2
2072,2014,78.1
2073,2013,77.9
2074,2012,77.8
2075,2011,77.5
2076,2010,77.3
2077,2009,77.0
2078,2008,76.8
2079,2007,76.7
2080,2006,76.6
2081,2005,76.6
2082,2004,76.6
2083,2003,76.5
2084,2002,76.4
2085,2001,76.3
2086,2000,76.2
2087,2015,82.3
2088,2014,82.0
2089,2013,81.7
2090,2012,81.2
2091,2011,81.1
2092,2010,87.0
2093,2009,86.0
2094,2008,83.0
2095,2007,79.8
2096,2006,79.4
2097,2005,78.7
2098,2004,78.2
2099,2003,77.6
2100,2002,77.1
2101,2001,76.7
2102,2000,76.0
2103,2015,72.1
2104,2014,71.8
2105,2013,71.7
2106,2012,79.0
2107,2011,77.0
2108,2010,68.8
2109,2009,69.0
2110,2008,68.9
2111,2007,68.3
2112,2006,68.0
2113,2005,67.3
2114,2004,68.0
2115,2003,67.6
2116,2002,67.5
2117,2001,67.6
2118,2000,67.1
2119,2015,75.0
2120,2014,74.8
2121,2013,74.6
2122,2012,74.4
2123,2011,74.3
2124,2010,73.4
2125,2009,73.1
2126,2008,73.1
2127,2007,72.9
2128,2006,72.5
2129,2005,71.9
2130,2004,71.7
2131,2003,71.1
2132,2002,77.0
2133,2001,78.0
2134,2000,77.0
2135,2015,75.0
2136,2014,73.0
2137,2013,70.0
2138,2012,69.6
2139,2011,69.4
2140,2010,68.4
2141,2009,68.2
2142,2008,67.5
2143,2007,67.3
2144,2006,66.4
2145,2005,65.0
2146,2004,64.9
2147,2003,64.6
2148,2002,64.8
2149,2001,65.1
2150,2000,65.0
2151,2015,66.1
2152,2014,65.7
2153,2013,65.2
2154,2012,64.6
2155,2011,63.8
2156,2010,62.8
2157,2009,61.0
2158,2008,68.0
2159,2007,59.6
2160,2006,57.6
2161,2005,55.3
2162,2004,53.4
2163,2003,52.0
2164,2002,57.0
2165,2001,48.6
2166,2000,48.3
2167,2013,69.22493169398908
2168,2015,75.2
2169,2014,75.0
2170,2013,74.8
2171,2012,74.7
2172,2011,74.6
2173,2010,74.2
2174,2009,74.3
2175,2008,74.1
2176,2007,73.9
2177,2006,73.5
2178,2005,73.1
2179,2004,72.6
2180,2003,72.2
2181,2002,72.0
2182,2001,71.8
2183,2000,71.6
2184,2015,73.2
2185,2014,73.1
2186,2013,72.7
2187,2012,72.8
2188,2011,72.7
2189,2010,72.5
2190,2009,72.3
2191,2008,72.1
2192,2007,71.9
2193,2006,71.7
2194,2005,71.4
2195,2004,71.2
2196,2003,71.0
2197,2002,79.0
2198,2001,79.0
2199,2000,79.0
2200,2015,74.0
2201,2014,73.8
2202,2013,73.6
2203,2012,73.2
2204,2011,73.0
2205,2010,72.6
2206,2009,76.0
2207,2008,72.5
2208,2007,72.2
2209,2006,72.0
2210,2005,71.6
2211,2004,71.4
2212,2003,79.0
2213,2002,76.0
2214,2001,75.0
2215,2000,72.0
2216,2013,69.22493169398908
2217,2015,67.5
2218,2014,67.3
2219,2013,67.1
2220,2012,66.9
2221,2011,66.6
2222,2010,66.2
2223,2009,65.8
2224,2008,65.4
2225,2007,65.1
2226,2006,64.7
2227,2005,64.3
2228,2004,63.8
2229,2003,63.4
2230,2002,63.1
2231,2001,62.8
2232,2000,62.6
2233,2015,74.5
2234,2014,74.4
2235,2013,74.3
2236,2012,74.1
2237,2011,73.9
2238,2010,73.7
2239,2009,73.4
2240,2008,73.3
2241,2007,73.2
2242,2006,73.2
2243,2005,73.1
2244,2004,73.1
2245,2003,73.0
2246,2002,72.9
2247,2001,72.8
2248,2000,72.6
2249,2015,66.7
2250,2014,66.4
2251,2013,66.0
2252,2012,65.6
2253,2011,64.9
2254,2010,64.3
2255,2009,63.5
2256,2008,62.8
2257,2007,62.1
2258,2006,61.3
2259,2005,65.0
2260,2004,59.7
2261,2003,59.0
2262,2002,58.4
2263,2001,57.9
2264,2000,57.5
2265,2015,75.6
2266,2014,75.4
2267,2013,75.3
2268,2012,74.9
2269,2011,74.6
2270,2010,74.4
2271,2009,74.1
2272,2008,74.0
2273,2007,73.8
2274,2006,73.6
2275,2005,73.0
2276,2004,73.0
2277,2003,73.0
2278,2002,72.9
2279,2001,73.1
2280,2000,72.6
2281,2015,73.2
2282,2014,73.0
2283,2013,72.9
2284,2012,72.7
2285,2011,72.6
2286,2010,72.4
2287,2009,72.3
2288,2008,72.2
2289,2007,72.2
2290,2006,72.2
2291,2005,72.2
2292,2004,72.1
2293,2003,72.1
2294,2002,72.1
2295,2001,72.0
2296,2000,71.8
2297,2015,51.0
2298,2014,48.1
2299,2013,54.0
2300,2012,49.7
2301,2011,48.9
2302,2010,48.1
2303,2009,47.1
2304,2008,46.2
2305,2007,45.3
2306,2006,44.3
2307,2005,43.3
2308,2004,42.3
2309,2003,41.5
2310,2002,48.0
2311,2001,41.0
2312,2000,39.0
2313,2015,83.1
2314,2014,82.9
2315,2013,82.7
2316,2012,82.5
2317,2011,82.2
2318,2010,82.0
2319,2009,81.7
2320,2008,81.4
2321,2007,81.1
2322,2006,87.0
2323,2005,82.0
2324,2004,79.7
2325,2003,79.3
2326,2002,79.0
2327,2001,78.7
2328,2000,78.3
2329,2015,76.7
2330,2014,76.4
2331,2013,76.1
2332,2012,75.8
2333,2011,75.6
2334,2010,75.1
2335,2009,75.0
2336,2008,74.7
2337,2007,74.4
2338,2006,74.3
2339,2005,74.0
2340,2004,74.1
2341,2003,73.8
2342,2002,73.7
2343,2001,73.3
2344,2000,73.0
2345,2015,88.0
2346,2014,87.0
2347,2013,85.0
2348,2012,82.0
2349,2011,79.8
2350,2010,79.5
2351,2009,79.1
2352,2008,78.9
2353,2007,78.3
2354,2006,78.1
2355,2005,77.5
2356,2004,77.2
2357,2003,76.5
2358,2002,76.6
2359,2001,76.2
2360,2000,76.0
2361,2015,69.2
2362,2014,68.8
2363,2013,68.8
2364,2012,68.7
2365,2011,68.5
2366,2010,68.3
2367,2009,68.1
2368,2008,68.0
2369,2007,67.6
2370,2006,67.6
2371,2005,67.4
2372,2004,67.1
2373,2003,66.8
2374,2002,66.5
2375,2001,66.2
2376,2000,65.8
2377,2015,55.0
2378,2014,54.3
2379,2013,54.2
2380,2012,53.1
2381,2011,53.1
2382,2010,52.4
2383,2009,52.2
2384,2008,51.9
2385,2007,51.5
2386,2006,51.5
2387,2005,51.6
2388,2004,51.2
2389,2003,51.1
2390,2002,58.0
2391,2001,57.0
2392,2000,55.0
2393,2015,62.9
2394,2014,62.0
2395,2013,69.0
2396,2012,59.2
2397,2011,58.9
2398,2010,58.0
2399,2009,56.5
2400,2008,55.3
2401,2007,54.5
2402,2006,54.0
2403,2005,53.8
2404,2004,53.7
2405,2003,54.0
2406,2002,54.9
2407,2001,56.0
2408,2000,57.3
2409,2015,57.3
2410,2014,56.6
2411,2013,56.4
2412,2012,56.0
2413,2011,55.4
2414,2010,55.0
2415,2009,54.3
2416,2008,53.6
2417,2007,53.1
2418,2006,52.5
2419,2005,51.9
2420,2004,51.4
2421,2003,58.0
2422,2002,52.0
2423,2001,49.6
2424,2000,48.9
2425,2015,82.8
2426,2014,82.6
2427,2013,82.4
2428,2012,82.0
2429,2011,82.1
2430,2010,81.9
2431,2009,81.6
2432,2008,81.3
2433,2007,89.0
2434,2006,88.0
2435,2005,81.0
2436,2004,81.0
2437,2003,79.4
2438,2002,79.5
2439,2001,79.4
2440,2000,79.1
2441,2015,74.9
2442,2014,74.7
2443,2013,74.6
2444,2012,74.5
2445,2011,74.5
2446,2010,74.5
2447,2009,71.8
2448,2008,72.3
2449,2007,73.7
2450,2006,73.8
2451,2005,74.2
2452,2004,69.1
2453,2003,73.9
2454,2002,73.7
2455,2001,72.7
2456,2000,71.5
2457,2015,64.1
2458,2014,63.8
2459,2013,63.5
2460,2012,63.2
2461,2011,62.7
2462,2010,62.5
2463,2009,62.0
2464,2008,61.8
2465,2007,61.4
2466,2006,61.0
2467,2005,67.0
2468,2004,59.7
2469,2003,59.6
2470,2002,59.4
2471,2001,58.9
2472,2000,58.6
2473,2015,71.6
2474,2014,71.4
2475,2013,71.2
2476,2012,71.3
2477,2011,76.0
2478,2010,73.0
2479,2009,70.0
2480,2008,69.8
2481,2007,69.5
2482,2006,69.3
2483,2005,68.9
2484,2004,68.3
2485,2003,68.0
2486,2002,67.9
2487,2001,67.7
2488,2000,67.4
2489,2015,58.9
2490,2014,58.4
2491,2013,57.6
2492,2012,56.5
2493,2011,55.0
2494,2010,53.6
2495,2009,52.6
2496,2008,51.4
2497,2007,50.0
2498,2006,47.8
2499,2005,46.0
2500,2004,45.6
2501,2003,45.9
2502,2002,46.4
2503,2001,47.1
2504,2000,48.4
2505,2015,82.4
2506,2014,82.3
2507,2013,81.9
2508,2012,81.7
2509,2011,81.7
2510,2010,81.5
2511,2009,81.4
2512,2008,81.1
2513,2007,89.0
2514,2006,88.0
2515,2005,85.0
2516,2004,83.0
2517,2003,82.0
2518,2002,79.9
2519,2001,79.8
2520,2000,79.6
2521,2015,83.4
2522,2014,83.2
2523,2013,83.0
2524,2012,82.7
2525,2011,82.6
2526,2010,82.3
2527,2009,82.1
2528,2008,82.0
2529,2007,81.7
2530,2006,81.5
2531,2005,81.1
2532,2004,81.0
2533,2003,85.0
2534,2002,84.0
2535,2001,82.0
2536,2000,79.7
2537,2015,64.5
2538,2014,64.4
2539,2013,63.6
2540,2012,62.8
2541,2011,71.7
2542,2010,73.7
2543,2009,73.8
2544,2008,73.8
2545,2007,73.8
2546,2006,73.7
2547,2005,73.5
2548,2004,73.2
2549,2003,73.0
2550,2002,72.8
2551,2001,72.7
2552,2000,72.6
2553,2015,69.7
2554,2014,69.6
2555,2013,69.3
2556,2012,68.8
2557,2011,68.1
2558,2010,67.3
2559,2009,66.7
2560,2008,66.4
2561,2007,66.1
2562,2006,65.9
2563,2005,65.5
2564,2004,65.9
2565,2003,65.2
2566,2002,64.3
2567,2001,64.0
2568,2000,63.7
2569,2015,74.9
2570,2014,74.6
2571,2013,74.5
2572,2012,74.3
2573,2011,74.1
2574,2010,73.9
2575,2009,73.7
2576,2008,73.5
2577,2007,73.3
2578,2006,73.0
2579,2005,72.5
2580,2004,71.6
2581,2003,71.7
2582,2002,71.4
2583,2001,71.2
2584,2000,71.1
2585,2015,75.7
2586,2014,75.5
2587,2013,75.3
2588,2012,75.1
2589,2011,74.9
2590,2010,74.7
2591,2009,74.4
2592,2008,74.2
2593,2007,73.5
2594,2006,73.7
2595,2005,73.6
2596,2004,73.5
2597,2003,73.2
2598,2002,72.8
2599,2001,73.1
2600,2000,72.6
2601,2015,68.3
2602,2014,68.0
2603,2013,67.7
2604,2012,67.4
2605,2011,67.2
2606,2010,66.9
2607,2009,66.6
2608,2008,66.2
2609,2007,65.8
2610,2006,64.9
2611,2005,63.7
2612,2004,62.3
2613,2003,61.0
2614,2002,62.0
2615,2001,59.4
2616,2000,58.7
2617,2015,59.9
2618,2014,59.7
2619,2013,59.4
2620,2012,58.9
2621,2011,58.3
2622,2010,57.4
2623,2009,56.7
2624,2008,56.2
2625,2007,55.9
2626,2006,55.7
2627,2005,55.0
2628,2004,54.9
2629,2003,54.7
2630,2002,54.7
2631,2001,54.6
2632,2000,54.6
2633,2015,73.5
2634,2014,73.3
2635,2013,73.2
2636,2012,73.0
2637,2011,72.9
2638,2010,72.8
2639,2009,72.5
2640,2008,72.6
2641,2007,72.5
2642,2006,72.4
2643,2005,72.3
2644,2004,72.2
2645,2003,72.0
2646,2002,71.9
2647,2001,71.8
2648,2000,71.6
2649,2015,71.2
2650,2014,71.1
2651,2013,71.0
2652,2012,78.0
2653,2011,76.0
2654,2010,74.0
2655,2009,71.0
2656,2008,69.9
2657,2007,69.7
2658,2006,69.6
2659,2005,69.5
2660,2004,69.4
2661,2003,69.3
2662,2002,69.2
2663,2001,69.1
2664,2000,69.1
2665,2015,75.3
2666,2014,75.1
2667,2013,74.9
2668,2012,74.9
2669,2011,74.8
2670,2010,74.8
2671,2009,74.7
2672,2008,74.7
2673,2007,74.6
2674,2006,74.4
2675,2005,74.2
2676,2004,74.0
2677,2003,73.7
2678,2002,73.5
2679,2001,73.2
2680,2000,72.9
2681,2015,75.8
2682,2014,75.5
2683,2013,75.2
2684,2012,74.8
2685,2011,74.5
2686,2010,74.2
2687,2009,73.9
2688,2008,73.5
2689,2007,73.2
2690,2006,72.8
2691,2005,72.4
2692,2004,72.0
2693,2003,71.6
2694,2002,71.2
2695,2001,78.0
2696,2000,74.0
2697,2015,66.3
2698,2014,66.0
2699,2013,65.4
2700,2012,65.6
2701,2011,65.6
2702,2010,65.8
2703,2009,65.6
2704,2008,64.5
2705,2007,64.1
2706,2006,63.7
2707,2005,63.3
2708,2004,63.5
2709,2003,63.4
2710,2002,63.3
2711,2001,64.0
2712,2000,63.8
2713,2013,69.22493169398908
2714,2015,62.3
2715,2014,61.5
2716,2013,67.0
2717,2012,60.0
2718,2011,59.3
2719,2010,58.4
2720,2009,57.5
2721,2008,56.3
2722,2007,55.5
2723,2006,54.9
2724,2005,53.2
2725,2004,51.3
2726,2003,51.0
2727,2002,48.8
2728,2001,47.7
2729,2000,46.6
2730,2015,71.3
2731,2014,78.0
2732,2013,71.0
2733,2012,77.0
2734,2011,75.0
2735,2010,69.8
2736,2009,69.2
2737,2008,67.7
2738,2007,67.5
2739,2006,67.7
2740,2005,67.0
2741,2004,67.4
2742,2003,67.6
2743,2002,67.6
2744,2001,67.7
2745,2000,67.5
2746,2015,77.1
2747,2014,76.9
2748,2013,76.7
2749,2012,76.5
2750,2011,76.3
2751,2010,76.2
2752,2009,76.0
2753,2008,75.8
2754,2007,75.6
2755,2006,75.4
2756,2005,75.3
2757,2004,75.1
2758,2003,74.9
2759,2002,74.7
2760,2001,74.5
2761,2000,74.2
2762,2015,81.2
2763,2014,81.0
2764,2013,87.0
2765,2012,86.0
2766,2011,86.0
2767,2010,82.0
2768,2009,81.0
2769,2008,79.6
2770,2007,79.5
2771,2006,79.3
2772,2005,79.0
2773,2004,78.8
2774,2003,78.3
2775,2002,78.2
2776,2001,78.0
2777,2000,77.8
2778,2015,61.8
2779,2014,67.0
2780,2013,59.7
2781,2012,58.6
2782,2011,58.3
2783,2010,57.5
2784,2009,56.9
2785,2008,56.2
2786,2007,54.5
2787,2006,53.1
2788,2005,52.2
2789,2004,51.5
2790,2003,58.0
2791,2002,52.0
2792,2001,49.6
2793,2000,49.2
2794,2015,79.3
2795,2014,79.1
2796,2013,78.9
2797,2012,78.8
2798,2011,78.7
2799,2010,78.7
2800,2009,78.5
2801,2008,78.2
2802,2007,78.1
2803,2006,77.8
2804,2005,77.5
2805,2004,77.5
2806,2003,77.2
2807,2002,77.0
2808,2001,76.9
2809,2000,76.8
2810,2015,77.0
2811,2014,76.8
2812,2013,76.8
2813,2012,76.5
2814,2011,77.0
2815,2010,76.3
2816,2009,76.6
2817,2008,76.4
2818,2007,75.4
2819,2006,76.2
2820,2005,75.7
2821,2004,75.4
2822,2003,75.4
2823,2002,75.4
2824,2001,75.2
2825,2000,75.1
2826,2015,69.4
2827,2014,69.2
2828,2013,69.1
2829,2012,68.8
2830,2011,68.5
2831,2010,68.3
2832,2009,68.0
2833,2008,67.9
2834,2007,67.8
2835,2006,67.6
2836,2005,67.3
2837,2004,67.8
2838,2003,67.2
2839,2002,67.1
2840,2001,67.4
2841,2000,67.1
2842,2015,72.0
2843,2014,71.7
2844,2013,71.6
2845,2012,71.4
2846,2011,71.2
2847,2010,71.0
2848,2009,78.0
2849,2008,75.0
2850,2007,73.0
2851,2006,71.0
2852,2005,69.9
2853,2004,69.6
2854,2003,69.4
2855,2002,69.3
2856,2001,69.1
2857,2000,69.0
2858,2015,74.1
2859,2014,73.9
2860,2013,73.8
2861,2012,73.7
2862,2011,73.8
2863,2010,73.7
2864,2009,73.6
2865,2008,73.2
2866,2007,73.4
2867,2006,73.6
2868,2005,73.6
2869,2004,73.3
2870,2003,72.4
2871,2002,73.1
2872,2001,72.5
2873,2000,72.5
2874,2015,76.0
2875,2014,75.9
2876,2013,75.7
2877,2012,75.6
2878,2011,75.4
2879,2010,75.2
2880,2009,75.0
2881,2008,74.9
2882,2007,74.7
2883,2006,74.6
2884,2005,74.4
2885,2004,74.2
2886,2003,74.0
2887,2002,73.8
2888,2001,73.6
2889,2000,73.4
2890,2015,65.7
