Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
Solomon Islands,2015,11196,12568,10063,11238,12750,9788,4698,7986,624.5,217.6,253.3,1826,2434,1827,6202,1129,3431,338.3,1428
Eritrea,2015,11175,12269,9485,10066,12069,9692,4605,7885,747,414.8,407,1673,2356,3998,6153,1061,3388,1269,1288
Costa Rica,2015,4456,6928,51000,14680,10073,3668,1040,2340,265.4,101.4,75.61,569.2,669.4,758.4,1521,457.8,798.7,113.9,483.7
Micronesia (Federated States of),2015,11237,12117,8608,10238,12015,10080,4963,8288,634.1,285.8,366,1987,2682,2902,6533,1223,3667,604,1570
Cameroon,2015,9006,10727,11534,10083,11016,7667,4638,6175,756.8,789.9,1425,2243,3094,5816,5407,1077,3919,3108,1519
Gambia,2015,10111,12155,13768,12086,12911,8176,3692,6183,544.6,481.4,642.2,1523,2152,4007,4762,794,2905,2043,1063
Burundi,2015,10125,11865,12047,11071,12092,8605,3896,6632,815,880.7,1206,1514,2074,4594,5214,1071,2967,2123,1209
Mongolia,2015,11154,12369,17294,11054,11075,10127,3972,7348,468.9,254.9,243.6,1218,1828,1674,5423,662.9,2682,292.7,856.7
Guinea-Bissau,2015,10138,11081,8639,8946,10671,9033,4956,7529,834.5,444.8,1136,2018,2841,5956,6163,1129,3889,3138,1457
Guyana,2015,9700,13168,11421,16359,10140,8946,3560,6778,695.2,281.4,209.1,1668,2269,2620,5559,1276,3164,603.7,1582
Sierra Leone,2015,9024,10855,11309,10158,11085,7584,3598,5777,699,754.8,1415,1713,2266,9605,4574,981.5,2881,4401,1320
Pakistan,2015,10165,12514,14376,12571,13200,8164,2945,5864,589.5,363.4,471.4,1210,1550,6267,4295,858.4,2197,1396,1003
Cambodia,2015,10183,13042,17660,14708,14891,7684,2689,5352,480.6,200.8,343.5,937.8,1302,2813,3949,672.8,1902,446.7,742.7
Samoa,2015,10189,12453,18774,14032,14128,8131,3106,6097,444,181.9,198.4,1135,1506,1209,4381,757.4,2153,203.4,921.1
Uruguay,2015,7475,10196,36045,15875,12759,5334,1497,3719,331.3,91.06,74.67,616,781.6,744.4,2326,525.2,1004,125.2,481
Guinea,2015,9736,11528,10563,10221,11480,8283,3843,6370,754.1,631.2,1241,1769,2329,6888,5033,1044,3038,3889,1359
Czechia,2015,7303,10229,37074,18278,13277,5107,1190,3112,139.4,50.54,42.64,296.3,451.1,287.2,1915,237.2,687.3,61.86,261.4
Congo,2015,10232,11874,11983,11105,12393,8546,4471,6834,755.6,394.8,465.9,1748,2507,3877,5538,970.4,3458,1562,1286
Switzerland,2015,4298,6653,54000,16328,10235,3018,669.7,1843,118.8,45.97,38.83,183.5,269.5,390.9,1127,158.1,405.5,59.3,158.5
Kiribati,2015,11111,11282,5330,7731,10251,10487,5879,9215,844.4,390.3,573.8,2288,3113,5095,7528,1452,4357,1276,1796
Philippines,2015,10265,11820,20648,16501,13909,7166,2440,4927,366.3,207.6,217.8,939,1192,2236,3532,547.1,1745,635.9,704.1
Bangladesh,2015,7615,10286,32246,15676,11902,6007,1701,3908,334.5,270.3,319.6,484.7,654.7,3036,3054,375.8,1024,691.5,413.3
Syrian Arab Republic,2015,10303,12661,11491,14828,14607,7904,2439,5188,1325,1760,1405,1707,1667,2133,3627,2430,1782,669.3,2076
Seychelles,2015,8751,10313,25395,16422,15664,6404,2383,4531,285.1,133.2,129,916.6,994.5,1292,3264,578.4,1666,207,671.6
Somalia,2015,10316,10790,6744,7751,9826,9386,4515,7769,889.8,808.1,1666,1738,2356,8478,6092,1205,3373,4900,1397
Argentina,2015,7733,10317,34216,16435,13263,5575,1507,3743,375.5,114.8,92.58,555.6,684.4,961.7,2336,483.4,976.9,166.3,464.5
Chad,2015,9530,11536,11051,10364,11639,7821,3364,5871,691.2,957.1,1500,1476,1952,7698,4575,925.5,2620,5276,1152
Grenada,2015,10381,12536,24396,14883,14051,7141,2123,4600,295.3,190.8,182,814.5,1104,1496,3104,481.8,1457,195.8,568.1
Indonesia,2015,10385,13534,18578,15497,15610,7660,2238,5159,401.5,217.5,347.8,706.1,981.7,2181,3473,540.2,1464,450.5,577.9
Madagascar,2015,10404,12480,13473,12147,13041,8523,3296,6290,594.9,730.7,1088,1322,1747,4094,4661,872,2465,1714,1057
Australia,2015,4211,6581,53259,15986,10436,2843,912.4,1950,161,52.09,42.66,312.5,444.6,320.4,1349,201.7,632.7,67.18,237.4
Sao Tome and Principe,2015,10436,13377,18003,15060,15281,7628,2317,5222,397.6,324.7,350.7,754.7,1041,2743,3543,556.4,1537,812.3,614.8
Botswana,2015,9384,10450,10533,9548,10656,8252,5934,7133,872.4,240.7,399.2,3028,4150,3203,6646,1392,5243,938.3,1998
Tunisia,2015,7089,10485,33264,19128,14724,4611,1163,2956,223.2,159.8,162.6,494.7,578.3,1382,1802,339.5,805.1,243,389
Equatorial Guinea,2015,8239,10518,15062,11962,12002,6503,3865,5035,577.1,646.1,1045,2152,2886,6891,4328,858.7,3419,2612,1397
Papua New Guinea,2015,10534,12423,13037,11824,12865,8729,3772,6635,610.1,364.4,518,1515,2073,4053,5076,889.1,2885,1070,1127
Croatia,2015,7594,10561,33341,18962,14049,5383,1351,3802,141.5,74.85,63.43,321.2,516.8,421.5,2177,223.7,717.7,76.46,224.6
Turkmenistan,2015,10573,13622,19594,12048,13285,7960,2743,5922,452.2,191.4,194.1,983.7,1259,3215,4087,571.9,2009,586.4,705.3
Côte d’Ivoire,2015,9532,11428,11984,10588,11705,7917,4135,6178,726.7,969.4,1396,1619,2328,6501,5135,923.6,3229,2532,1172
Afghanistan,2015,10736,12174,10589,10616,12290,9002,3793,6963,1017,230,309.7,1736,2199,5443,5219,1543,2863,1731,1546
Latvia,2015,8084,10601,30103,16075,12421,6594,2364,4764,211,83.11,86.73,820.4,1214,490.4,3481,332.3,1675,77.58,521.6
Austria,2015,5762,7939,47956,16962,10644,3839,872.3,2422,135.7,54.52,31.33,234.1,371.1,314.5,1460,207.9,552.6,54.07,187
Canada,2015,4877,7283,51202,15405,10644,3408,878.7,2218,163.1,58.74,42.51,330.2,395.9,472,1410,250.4,587.3,72.93,301
Hungary,2015,8612,10668,29144,16958,13753,7150,1811,5360,147.8,62.58,46.98,335.3,542.4,467.1,3470,208.4,903.5,84.1,276
Dominican Republic,2015,7515,10711,29756,14097,11239,6521,2443,4304,389.7,153.8,156.4,1130,1399,2632,3551,756.2,1810,549.4,886.5
Spain,2015,4568,6611,52370,16226,10767,3209,841.1,2261,90.41,43.37,41.29,184.5,277.4,271.7,1446,125.7,465,48.93,153.2
Zambia,2015,9450,10767,11351,9989,10990,8229,4949,6878,864.6,424.6,768.8,2365,3188,4619,5961,1256,4123,2154,1673
Vanuatu,2015,11156,12620,10771,11444,12874,9538,4345,7533,638.5,255.8,316.1,1726,2303,2651,5744,1068,3197,470.3,1349
Italy,2015,4597,7102,51704,16956,10785,3051,775.8,1942,117.4,42.13,33.15,216.3,294.4,303,1243,155,455.7,53.73,172
Republic of Moldova,2015,10793,12594,18172,15511,14671,8287,3063,5989,208.8,144.2,123.7,694.2,1188,1366,4249,322.4,1973,216.5,433.3
Russian Federation,2015,8698,10793,23434,14661,12939,7239,3152,5450,351.9,137.9,111.6,1631,2266,683.3,4101,628.3,2609,117.9,995.4
Egypt,2015,10804,13427,18353,13545,14705,9994,2139,6433,392.1,221.4,242.8,586.1,791.6,1787,4157,429.3,1160,350.6,481.9
Namibia,2015,8957,10829,13518,11200,11802,7367,5069,6299,774.5,527.7,647.3,2356,3355,3314,5768,1017,4306,1413,1481
Antigua and Barbuda,2015,7583,10839,30420,18812,14558,5954,1421,3849,236,105.3,77.31,507.3,724.7,652.6,2331,437,895.7,100.2,497.4
Uzbekistan,2015,10869,14315,16606,17020,16734,7514,2012,4890,339.1,191.2,190.7,687.6,997,2083,3021,422.4,1328,250.4,530.2
Liberia,2015,9040,10876,13959,11389,11615,7594,3951,5878,663.5,739.4,852.5,1820,2496,6608,4665,992.7,3028,2439,1394
Democratic Republic of the Congo,2015,9904,11723,11957,10956,11962,8291,3519,6256,669.9,921.9,1260,1424,1910,7374,4811,928.2,2683,2337,1112
Panama,2015,5604,8067,45767,14495,10988,3726,1200,2539,375.4,176.3,153.4,690.9,639.6,1423,1859,538.5,871.9,238.4,647.7
Greece,2015,5532,7822,46518,17088,11264,3856,1020,2639,145.9,66.58,66.92,315,411.1,452.1,1637,228.1,593.1,100.5,245
Bulgaria,2015,8688,11305,26194,18005,14482,6773,2080,4900,237.4,92.65,100.9,512.2,702.9,650.1,3301,305.3,1187,121.2,362
Slovenia,2015,5822,8372,45085,17205,11515,4251,1006,2761,147.8,45.88,37.45,295.4,383.1,205,1797,220.3,608,47.77,195
United Arab Emirates,2015,9133,13037,26744,17326,15683,6285,1469,3972,242.8,101.1,95.04,455,597.2,668.9,2416,360.9,903.2,109.4,400.8
Japan,2015,4109,6264,57169,14700,9390,2801,759.4,1788,101.7,41.48,40.69,231.3,314.8,181.4,1195,170.4,478.9,71.54,192.4
Singapore,2015,4591,7517,52091,15391,11599,3079,756.2,2046,101.7,43.95,35.18,205.8,257.6,294,1225,124.9,434.1,60.96,147
Guatemala,2015,8677,9789,27480,14035,12140,6159,2597,4793,696.4,212.8,177.8,1220,1639,2294,3682,966.8,1968,461.8,1011
Finland,2015,5368,7206,48662,16386,11478,3696,1015,2440,135,49.64,26.07,336.1,405.1,168.5,1519,234.9,576.2,36.16,262.6
Poland,2015,7655,9714,36353,15914,12346,5889,1708,4157,193,67.88,46.99,434.3,652.1,405.3,2754,294.7,1015,68.46,333.8
Belgium,2015,5509,7753,47159,16536,11356,4049,1017,2686,112.8,46.82,44.04,297.2,408.5,324.2,1582,215.6,625,66.19,213.4
Mauritius,2015,8501,11150,29244,15214,13597,6234,2239,4297,284.9,102.2,77.88,758.7,1087,1275,3155,439.9,1564,176.1,602.1
Norway,2015,4712,7348,50501,17341,11366,3050,702.8,1961,102.7,36.2,17.65,255.3,291.6,223.3,1168,183,457,48.8,233.6
Kuwait,2015,5286,8203,48755,15695,11252,3645,834,2218,170.1,102.9,92.46,275.1,339.1,759.9,1321,226.6,479.6,122.8,223.3
Lithuania,2015,8497,9905,30663,15169,11987,6687,2539,4834,289.2,137,53.57,926.4,1398,425.5,3563,391,1787,102.9,645.5
Brazil,2015,7093,9737,34440,15867,12663,5051,1806,3656,608.5,148.3,109.7,828.7,1025,1373,2558,782.5,1324,167.6,762.3
Mali,2015,9191,11760,13928,11794,12594,7243,3046,5276,598.1,789.9,1363,1340,1793,6873,4079,788.6,2347,4171,1025
Armenia,2015,9063,12879,24688,18551,14840,6434,1891,4132,168.8,96.19,103.2,421.3,634.8,1317,2830,301.8,1193,156.5,300
Sri Lanka,2015,6850,12297,29896,17216,16855,5097,1514,3501,353.8,120.5,103.2,501.9,601.3,759.9,2381,478,884.6,127.2,463.6
Saudi Arabia,2015,9083,11696,25242,15306,14159,6966,2451,5114,343.5,103.3,99.49,879.9,1163,726.1,3595,581.8,1665,123.3,701.6
Cuba,2015,7485,9869,37544,16101,13211,5075,1376,3633,191.7,103.8,90.36,422.3,668.8,400.3,2200,252.5,890.8,147.4,338
Yemen,2015,9532,12491,18423,14407,14315,7176,2310,4904,580.4,473.8,527.3,1030,1256,4287,3435,869.3,1705,1368,910.7
United Kingdom of Great Britain and Northern Ireland,2015,5246,8043,46411,17259,12002,3620,1033,2312,123.5,44.93,38.08,318.9,472.3,387.4,1521,179.5,697.5,62.6,227.7
Tajikistan,2015,13006,17365,8999,15377,18721,8305,1934,5105,257,90.72,71.93,725.1,1039,3272,2891,419.5,1390,500.8,532.8
Tonga,2015,9648,12082,23854,14719,14165,7203,2501,5378,331.4,104.1,185,741.1,1059,1424,3671,481.3,1648,257.5,546.4
Chile,2015,6041,8908,44858,15403,11800,3717,1171,2652,235.4,88.21,77.28,412.3,541.5,676.1,1843,295.8,799.8,104.2,377.4
Morocco,2015,9749,13085,22204,16419,15902,6824,1885,4504,331.4,104.2,181.3,564.3,789.6,2063,2950,427.4,1198,360.8,458.9
Malawi,2015,9418,11376,13606,11223,12096,7803,4443,6232,702.4,474.1,836.8,2023,2797,3888,5362,1043,3638,1639,1400
Türkiye,2015,6962,11295,35533,17321,14965,4672,1043,2942,199.8,120.3,123.1,272,379.6,1044,1854,222.9,648,171.8,231.5
Kazakhstan,2015,9510,11957,22192,15518,14585,7169,2630,5151,329.2,155.2,147.8,1097,1586,1044,3587,500.8,2036,123.6,681
Libya,2015,7770,9874,34268,13456,13057,5560,1951,3478,656.9,278.7,222.2,1047,1193,1128,2485,976.3,1442,193.2,964.1
Venezuela (Bolivarian Republic of),2015,6471,8797,34689,16285,12283,5367,1571,3487,859.3,191.8,145.8,1047,1093,1587,2329,1281,1171,268,1078
Luxembourg,2015,5120,7512,51058,16335,11048,3247,787.7,2037,105,22.81,21.62,188.4,261.5,221.8,1289,96.14,462.2,50.4,135.6
Bahrain,2015,7840,13477,27116,19646,18071,5188,985.6,2797,279.1,90.24,105.9,359.8,473.5,628.5,1596,361,594.2,106,284.5
China,2015,7157,11213,31471,19595,15536,4752,1335,3015,188.4,105.9,106.3,424.7,590.4,911.7,1945,268.8,916.9,151.2,318
Burkina Faso,2015,9845,12142,12405,11172,12515,7993,3282,5986,696.5,645.6,1131,1302,1740,6077,4574,889.5,2425,4124,1056
Lebanon,2015,8495,12077,29646,17244,15199,5701,1491,3770,300.7,117.4,106.2,439.7,597.6,601.3,2444,390.7,904.1,94.16,381.5
Republic of Korea,2015,4145,7194,50899,16724,11677,2765,960.7,1969,106.3,45.42,45.37,300.9,388.3,282.8,1431,164.1,628,49.94,223.6
Cabo Verde,2015,6393,9611,33555,16579,13123,4290,2391,3761,328.1,121.5,106.7,949,1354,1596,2682,491.3,1658,286.2,725.1
Ethiopia,2015,9173,12285,18274,14029,14190,6904,2705,4831,520.8,557.3,704,1061,1483,4258,3637,644.8,2033,1908,801.6
Mauritania,2015,8618,11832,21252,14832,13978,6373,1999,4239,396.4,235.4,515.9,844.8,1064,5439,2974,576.4,1462,2671,696.9
The former Yugoslav Republic of Macedonia,2015,9567,13729,17553,21241,18667,6648,1637,4539,178.2,76.21,61.19,336.2,510.2,1066,2680,195.6,865.6,159.7,289.6
Djibouti,2015,9285,11740,15742,12744,13020,7298,3615,5467,583.1,522.1,841.8,1577,2213,4981,4450,779.1,2959,1114,1069
Trinidad and Tobago,2015,7137,9446,33775,15279,12461,5487,1882,3704,508.7,150.9,107.2,992,1102,1747,2848,906.2,1430,211.3,826.1
Maldives,2015,5946,12850,34594,20052,15491,3902,801.7,2408,213.5,129.2,107.3,185.1,247.6,917.8,1225,186,394.3,141.2,208.2
Ukraine,2015,9062,11915,23046,15399,14115,7100,2838,5073,308.1,107.8,93.81,1117,1678,837.4,3762,494.5,2192,130.5,730.1
Colombia,2015,5364,8244,43347,16196,12474,3479,1079,2408,455.8,139.1,112.4,684.5,731.7,1320,1591,661.9,839.3,221.7,653
Myanmar,2015,9857,12735,17525,14061,14269,7464,2651,5275,502,257.8,317.4,1081,1415,4104,3859,706.9,1957,1119,841.7
Portugal,2015,4923,7338,48006,17101,11323,3576,1186,2500,109.4,42.83,53.16,262.4,395.1,302.8,1740,168.1,702.6,68.95,202.2
France,2015,4673,6380,53582,14426,9393,3634,1099,2657,129.5,46.64,40.43,301.6,425.1,340,1701,197.2,676.5,65.14,233.5
Romania,2015,8254,11000,27595,17498,14498,6500,1940,4920,221.8,111.4,90.36,450.2,673.7,877.9,3367,291.5,1186,149.5,374.2
Thailand,2015,5848,8220,42489,13999,11086,4207,1848,2966,446.6,248.4,185.2,985.1,1242,926.8,2358,562.8,1510,148.9,722.9
Cyprus,2015,4552,6947,50493,18473,11113,2878,698,1842,125.2,48.84,59.68,193.5,316.9,223.5,1141,177.1,526.2,50.7,141.4
Jamaica,2015,7366,11142,33292,15050,13954,5214,1988,3818,165.8,159.2,134.6,679.3,929.5,1282,2576,308.5,1312,223.6,406.4
Kenya,2015,8986,11159,14940,12071,12333,7413,4590,6038,736.7,453.4,567.9,1823,2710,3601,5341,936.1,3661,1424,1216
Togo,2015,9731,11710,12589,11162,12127,8066,4079,6246,747.7,559.2,801.3,1681,2383,5152,5103,936,3238,2496,1192
El Salvador,2015,6035,8412,36014,14127,11213,4452,2278,3705,932.7,197.7,113.9,1678,1922,1333,2767,1262,1991,216.5,1351
Suriname,2015,8215,11229,25899,15790,13732,6295,2265,5415,400.2,176.8,139.3,1127,1178,1780,3190,503.7,1571,218.4,875.8
New Zealand,2015,4705,7441,49550,16794,11271,3057,964.1,2076,230.9,61.43,47.76,310.6,392.8,448.1,1421,277,582.6,92.43,277.7
Iceland,2015,4566,7331,50566,17834,11289,2664,630.7,1921,155.1,49.47,38.36,354.6,376.4,175,1125,172.2,466.8,74.31,211.1
Malta,2015,4717,7228,49782,17552,11353,3124,732.5,2033,118.9,59.68,38.28,246.9,352.4,608.7,1244,150.6,440.6,67.91,151.5
United States of America,2015,6068,8537,42761,15192,11386,4512,1464,3336,236.6,72.33,56.87,633.9,756.4,619.9,2314,436.4,996.7,97.85,522.8
Nigeria,2015,8595,11415,15879,12390,12916,6517,2686,4661,483,731.6,1282,1171,1603,7885,3532,643.4,2075,4675,859.3
Germany,2015,5810,8206,45614,17171,11426,4173,985,2758,119.1,43.51,35.33,269,366.5,328.2,1684,165.7,587,65.69,193.6
South Africa,2015,8384,9007,15685,11455,9700,7183,4952,6125,868.5,347.4,345.1,3549,4267,2905,5598,1565,4744,850.7,2471
Haiti,2015,9897,11845,12780,11456,12325,8238,3925,6334,689,468.4,663.3,1661,2264,5346,5070,974.3,3097,1721,1248
Iraq,2015,8956,11472,24267,14209,13417,6570,2370,4479,729.5,590.4,516.6,1192,1289,2332,3283,1195,1531,478.7,1123
Israel,2015,4855,7482,50080,17001,11495,3029,740.6,1974,116.2,62.83,49.34,220.4,264.4,312.6,1418,172.8,476.9,70.36,178.2
Angola,2015,9708,11675,13367,11496,12116,8001,3426,5951,625.5,632.8,1129,1580,2043,5824,4637,914.4,2714,2980,1182
Fiji,2015,11551,13894,13680,12451,13924,9933,3193,7245,451.9,268.7,214.7,888.9,1307,2105,5156,636.4,2020,368.1,712.9
Peru,2015,5347,7615,46754,14419,11553,3615,1207,2511,290.1,161.9,156.4,552.9,661.5,1319,1701,402.2,896.2,349.2,487.7
South Sudan,2015,8988,11597,15007,12017,12762,6967,3145,5110,672.1,670.7,1226,1577,2042,6171,4000,988,2534,3310,1216
Sweden,2015,4792,7798,49849,17079,11631,3051,658.3,1946,114.7,55.01,33.68,278.3,297.7,244.6,1188,226.9,422.4,50.65,285.2
Azerbaijan,2015,11666,14384,13501,18098,17877,7868,1934,5085,287.4,146.4,171.6,534.4,794.2,2187,3152,403.6,1194,303.2,412.5
India,2015,9080,11689,19897,16379,14023,7037,2263,5248,426.3,301.8,336.4,903.9,1228,3665,3783,593.7,1595,853.6,696.9
Belarus,2015,8946,11711,25205,16127,13977,7321,2579,5155,168.2,76.48,62.33,811,1241,295.2,3585,346.9,1788,75.45,527.8
United Republic of Tanzania,2015,9045,11722,16971,12972,13163,7091,3414,5249,610,339.1,827.9,1579,2130,4197,4249,826,2758,1712,1144
Netherlands,2015,5268,7979,47639,17580,11767,3532,810.6,2233,92.21,42.84,32.2,215,306.8,324.4,1355,127.9,471.5,55.13,169.7
Uganda,2015,9417,11788,15410,12199,12922,7484,3640,5738,711.7,551.7,904.9,1672,2218,3973,4615,921.2,2898,1714,1223
Niger,2015,9650,12176,13550,11834,12875,7662,2844,5470,598.5,1429,1641,1200,1583,5265,4067,784.9,2130,4278,963.3
Nicaragua,2015,8194,11835,27341,18188,15703,5563,1554,3664,305.4,222,150.9,485.8,658.1,1662,2421,385.2,979.7,281.3,407.2
Belize,2015,7068,8954,33439,14495,11875,5820,2281,4508,490.1,165.1,137.3,1327,1359,1265,3111,785.4,1543,211.8,1167
Oman,2015,11961,17011,11877,19602,20942,6761,1290,3630,527.3,124,124.9,451.4,572,973.6,2224,588.1,793,158.4,389.5
Viet Nam,2015,8729,11957,25291,16753,14948,6318,1984,4399,369.2,163.5,122,601.4,835.8,1774,3037,501.5,1270,436.6,510
Benin,2015,9518,12056,14175,11963,12842,7620,2929,5495,585.3,696.9,1273,1194,1600,6490,4124,763.8,2194,3546,935.2
Georgia,2015,9183,11968,20103,18499,15981,6860,2530,5291,303.4,130.9,121.5,722.3,986.5,908.6,3665,448.2,1654,114.4,528.7
Denmark,2015,5710,8385,45195,17509,11972,4173,927.7,2624,81.42,33.14,31.72,198.1,300.8,379.6,1623,151.4,517.7,33.78,153.7
Estonia,2015,7199,9814,37834,15643,11983,5483,1616,3867,257.2,73.92,62.49,758.5,791.8,287.2,2498,220.7,1119,67.43,424.5
Slovakia,2015,7457,9983,32698,18908,13857,5776,1553,3959,172.5,73.17,67.57,341.2,562.2,540.1,2551,243,870.5,110.9,276.8
Rwanda,2015,9484,12299,17986,14071,14070,7353,2902,5307,508.5,524.7,606.3,1135,1559,3285,4059,708.3,2178,1104,861.5
Honduras,2015,9969,12735,19085,14441,14660,7543,2581,5426,741.7,266.3,211.4,1167,1380,1686,3762,1108,1824,280.7,1133
Senegal,2015,9563,12453,17940,13971,13916,7372,2673,5139,503.6,533.6,717.1,1109,1461,3617,3804,712.5,2024,1622,870.2
Ireland,2015,4969,8059,47560,17479,12253,3144,815.5,2185,111,28.69,28.66,276.6,349.1,349.9,1383,195.5,506.9,46.8,259
Nepal,2015,9866,13062,18437,15278,15263,7362,2293,5018,536.9,361.5,493,851.6,1120,2921,3479,679.4,1595,665.3,717.4
Qatar,2015,6626,13334,15007,33511,21595,3248,802.7,1926,266.5,87.39,85.23,255.7,393.8,673.2,1121,288.9,432,97.3,249.1
Bhutan,2015,8753,12510,23359,17222,16001,6045,1671,3893,312.5,482.2,286.2,604,795.9,2877,2572,411.7,1129,584.9,490.4
Mexico,2015,7390,9702,34928,15359,13261,5117,1722,3689,363.4,145.1,113.4,737.3,944.6,1364,2528,552.1,1234,226.7,623.6
Sudan,2015,9002,12244,20211,14860,14533,6603,2122,4414,435.5,283.9,582.9,897.5,1145,4568,3106,621.1,1550,2088,732.5
Paraguay,2015,7256,9510,35792,15136,12468,5320,1739,3646,401.1,216,96.27,689.5,768.4,1911,2535,523.7,1148,325.7,519.7
Malaysia,2015,8132,12384,27764,15829,15527,6261,1943,4431,341.4,143.2,115.9,559.8,829,664.9,2962,380.4,1234,116.4,382.6
Algeria,2015,5818,8585,37953,18850,13497,4095,1151,2514,270.3,170.1,182.3,460.3,604.4,2219,1722,354.5,814,354.5,386.1
Iran (Islamic Republic of),2015,6601,9768,35066,17671,15054,4561,1154,2929,421.1,207.6,203.9,509.7,604.9,1417,1851,474.7,813.1,225.7,467.3
Lao People's Democratic Republic,2015,9927,12656,17063,13921,14015,7822,2592,5480,492.2,509.7,440.9,983.9,1279,4361,3910,712,1865,1163,807.3
Mozambique,2015,8824,9644,8388,8006,9367,8062,5637,7019,1164,721.7,850.8,3625,4439,6141,6296,1765,5087,2360,2601
Bahamas,2015,7705,9499,30218,14541,12472,5688,2638,4361,542.1,150.9,128.3,1362,1555,1365,3483,992.9,1939,188.9,1171
Eswatini,2015,7904,8109,6426,6571,7767,7743,7646,7797,1183,394.5,959.8,4903,6096,4915,7829,2157,6864,1363,3374
Brunei Darussalam,2015,8793,13656,23123,18372,17626,5352,1834,3804,178,119.5,137.1,550.5,773,768.6,2588,350.7,1281,183.1,510.2
Kyrgyzstan,2015,9464,12115,19993,17216,15703,7130,2364,4753,294.9,166.4,142.1,839.9,1346,1866,3374,430,1979,248.8,573.6
Serbia,2015,8638,12183,24645,19433,16095,6562,1701,4502,140,71.28,63.71,411.9,646.5,524.4,2877,215.1,926.9,87.81,276.7
Ecuador,2015,6262,8167,40817,16399,12258,4041,1270,2766,420.7,201.1,160.3,716.2,843.9,1287,1904,631.8,974.7,211.8,668.5
Saint Lucia,2015,6849,9046,36378,14578,12323,5045,2136,3689,346.7,142.2,164.9,919,996.4,1745,2514,644.4,1460,238.8,783.6
Comoros,2015,9492,12378,18121,13977,13849,7263,2364,4962,468.7,275.7,604.5,967.9,1233,5448,3548,674.8,1743,1830,800.2
Bosnia and Herzegovina,2015,7962,12382,27440,19537,16696,5604,1336,3766,161.6,68.31,55.29,326.4,475.7,602.1,2249,250.4,766.9,77.51,244.1
Democratic People's Republic of Korea,2015,9862,12427,22962,14451,14249,7489,2338,5342,425.1,207.1,239.4,712.3,978.7,1514,3603,579.3,1497,519.1,604.3
Montenegro,2015,9164,12744,24486,18806,16449,6505,1527,4441,147.9,50.93,60.18,390.5,591.2,332.3,2744,324.3,871.5,43.51,320.7
Timor-Leste,2015,9728,12883,19055,15336,15083,7104,2088,4738,378.3,365.6,522.3,739.6,974.6,4462,3217,535,1421,770.3,600.5
Bolivia (Plurinational State of),2015,9490,12990,21291,16440,15747,6765,1940,4448,353.6,196.9,250.8,701.5,916.1,2504,2986,495.1,1322,594.2,568.7
Jordan,2015,7374,9720,37084,17983,14477,4240,981.8,2607,179.1,151.1,165.1,298.7,391.6,1456,1625,210.9,592.5,228.6,235.7
Central African Republic,2015,9060,8606,3801,5025,7164,9224,7066,8774,1419,508.7,877.7,3145,4334,9138,8079,1887,5793,3750,2348
Lesotho,2015,6726,6210,2870,3796,5206,7081,9271,7592,1561,356.7,509.2,6436,8403,7216,8337,2525,9202,2434,4267
Brazil,2010,7496,10006,31803,15737,13363,5327,1959,3838,539.5,161.4,126.6,893.2,1067,1695,2812,776.7,1413,199.9,786.5
Poland,2010,7832,10019,33197,16156,13063,5982,1991,4510,217.5,73.9,58.55,466.9,742.2,498.6,3180,332,1240,82.06,357.3
Barbados,2010,7031,10027,34777,16407,13219,5184,1828,3392,352.1,139.1,74.41,716.2,895.8,1386,2409,406.5,1056,112.9,586.2
Paraguay,2010,7196,10034,34236,15424,12463,5536,1686,3667,422.1,238,129.2,647.8,864.5,2077,2644,558.5,1154,408.6,613.9
Belarus,2010,10044,11700,18939,14034,13680,8596,3455,6493,332.8,104.5,114.8,1359,1838,394.9,4771,576.6,2560,150.2,857.5
Uganda,2010,8696,10486,12156,10045,11072,7262,4983,6016,925.6,600.7,1020,2586,3455,5122,5495,1193,4309,2777,1800
Central African Republic,2010,8579,7993,3292,4456,6506,8827,7347,8530,1418,521.7,1019,3431,4850,10047,8001,1792,6140,4814,2437
France,2010,4858,6706,50797,14937,10049,3691,1263,2852,155.3,48.97,43.26,335.5,507.4,360.8,2022,242.3,782.5,69.43,281.1
Congo,2010,10074,11379,10318,10075,11527,8600,4958,6998,887.6,445.2,631.6,2204,3094,4281,5886,1136,4021,1923,1562
Myanmar,2010,10092,12427,14783,12616,13286,8030,3109,5794,593.3,350.7,594.9,1381,1755,5043,4375,848,2383,1464,1076
Ukraine,2010,10108,12413,18130,14671,14593,7809,3175,5828,311.1,135.3,128.8,1484,1910,905.9,4282,564.4,2464,165.3,921.4
Guinea,2010,9788,11623,10136,10150,11586,8147,3610,6214,742.4,698.4,1401,1725,2193,7503,4886,1035,2846,4364,1353
Jordan,2010,8065,10142,33122,18123,15340,4894,1090,2984,190.7,143.4,162.6,314.1,466.5,1698,1855,237.4,636.9,280.9,255
Cambodia,2010,10152,12860,15917,13879,14192,7889,2968,5598,547.8,263.2,506.4,1240,1671,3578,4092,785.4,2242,688.9,931.4
Czechia,2010,7674,10161,33941,18190,14175,5597,1357,3716,174.1,60.59,51.46,318.5,477.5,255.8,2404,272.5,836.3,63.53,275.4
