,Country,Year,source,target,value
7,Afghanistan,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,44.4
8,Afghanistan,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,1.1
10,Afghanistan,2010,Noncommunicable diseases,Malignant neoplasms,11.6
11,Afghanistan,2010,Noncommunicable diseases,Other neoplasms,0.0
12,Afghanistan,2010,Noncommunicable diseases,Diabetes mellitus,3.6
13,Afghanistan,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.2
14,Afghanistan,2010,Noncommunicable diseases,Mental and substance use disorders,0.3
15,Afghanistan,2010,Noncommunicable diseases,Neurological conditions,2.8
16,Afghanistan,2010,Noncommunicable diseases,Sense organ diseases,0.0
17,Afghanistan,2010,Noncommunicable diseases,Cardiovascular diseases,55.4
18,Afghanistan,2010,Noncommunicable diseases,Respiratory diseases,7.2
19,Afghanistan,2010,Noncommunicable diseases,Digestive diseases,7.0
20,Afghanistan,2010,Noncommunicable diseases,Genitourinary diseases,5.1
21,Afghanistan,2010,Noncommunicable diseases,Skin diseases,0.1
22,Afghanistan,2010,Noncommunicable diseases,Musculoskeletal diseases,0.1
23,Afghanistan,2010,Noncommunicable diseases,Congenital anomalies,6.1
24,Afghanistan,2010,Noncommunicable diseases,Oral conditions,0.0
25,Albania,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.6
26,Albania,2010,All Causes,Noncommunicable diseases,17.8
27,Albania,2010,All Causes,Injuries,1.2
29,Albania,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.1
30,Albania,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.3
31,Albania,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
32,Albania,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
33,Albania,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
35,Albania,2010,Noncommunicable diseases,Malignant neoplasms,5.3
36,Albania,2010,Noncommunicable diseases,Other neoplasms,0.0
37,Albania,2010,Noncommunicable diseases,Diabetes mellitus,0.1
38,Albania,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
39,Albania,2010,Noncommunicable diseases,Mental and substance use disorders,0.0
40,Albania,2010,Noncommunicable diseases,Neurological conditions,0.8
41,Albania,2010,Noncommunicable diseases,Sense organ diseases,0.0
42,Albania,2010,Noncommunicable diseases,Cardiovascular diseases,9.8
43,Albania,2010,Noncommunicable diseases,Respiratory diseases,0.6
44,Albania,2010,Noncommunicable diseases,Digestive diseases,0.5
45,Albania,2010,Noncommunicable diseases,Genitourinary diseases,0.3
46,Albania,2010,Noncommunicable diseases,Skin diseases,0.0
47,Albania,2010,Noncommunicable diseases,Musculoskeletal diseases,0.0
48,Albania,2010,Noncommunicable diseases,Congenital anomalies,0.2
49,Albania,2010,Noncommunicable diseases,Oral conditions,0.0
50,Algeria,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",25.2
51,Algeria,2010,All Causes,Noncommunicable diseases,118.1
52,Algeria,2010,All Causes,Injuries,14.5
54,Algeria,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,5.9
55,Algeria,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,6.2
56,Algeria,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.9
57,Algeria,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,12.1
58,Algeria,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.1
60,Algeria,2010,Noncommunicable diseases,Malignant neoplasms,22.5
61,Algeria,2010,Noncommunicable diseases,Other neoplasms,0.0
62,Algeria,2010,Noncommunicable diseases,Diabetes mellitus,3.0
63,Algeria,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.7
64,Algeria,2010,Noncommunicable diseases,Mental and substance use disorders,0.8
65,Algeria,2010,Noncommunicable diseases,Neurological conditions,4.8
66,Algeria,2010,Noncommunicable diseases,Sense organ diseases,0.0
67,Algeria,2010,Noncommunicable diseases,Cardiovascular diseases,66.7
68,Algeria,2010,Noncommunicable diseases,Respiratory diseases,5.3
69,Algeria,2010,Noncommunicable diseases,Digestive diseases,4.4
70,Algeria,2010,Noncommunicable diseases,Genitourinary diseases,5.2
71,Algeria,2010,Noncommunicable diseases,Skin diseases,0.1
72,Algeria,2010,Noncommunicable diseases,Musculoskeletal diseases,0.1
73,Algeria,2010,Noncommunicable diseases,Congenital anomalies,4.1
74,Algeria,2010,Noncommunicable diseases,Oral conditions,0.0
75,Angola,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",159.4
76,Angola,2010,All Causes,Noncommunicable diseases,61.8
77,Angola,2010,All Causes,Injuries,18.1
79,Angola,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,82.2
80,Angola,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,33.7
81,Angola,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,3.2
82,Angola,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,34.7
83,Angola,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,5.6
85,Angola,2010,Noncommunicable diseases,Malignant neoplasms,7.7
86,Angola,2010,Noncommunicable diseases,Other neoplasms,0.0
87,Angola,2010,Noncommunicable diseases,Diabetes mellitus,3.4
88,Angola,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.2
89,Angola,2010,Noncommunicable diseases,Mental and substance use disorders,0.3
90,Angola,2010,Noncommunicable diseases,Neurological conditions,1.9
91,Angola,2010,Noncommunicable diseases,Sense organ diseases,0.0
92,Angola,2010,Noncommunicable diseases,Cardiovascular diseases,23.5
93,Angola,2010,Noncommunicable diseases,Respiratory diseases,4.5
94,Angola,2010,Noncommunicable diseases,Digestive diseases,8.6
95,Angola,2010,Noncommunicable diseases,Genitourinary diseases,3.0
96,Angola,2010,Noncommunicable diseases,Skin diseases,0.2
97,Angola,2010,Noncommunicable diseases,Musculoskeletal diseases,0.1
98,Angola,2010,Noncommunicable diseases,Congenital anomalies,6.9
99,Angola,2010,Noncommunicable diseases,Oral conditions,0.0
100,Antigua and Barbuda,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.1
101,Antigua and Barbuda,2010,All Causes,Noncommunicable diseases,0.4
102,Antigua and Barbuda,2010,All Causes,Injuries,0.0
104,Antigua and Barbuda,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.0
105,Antigua and Barbuda,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.0
106,Antigua and Barbuda,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
107,Antigua and Barbuda,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
108,Antigua and Barbuda,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
110,Antigua and Barbuda,2010,Noncommunicable diseases,Malignant neoplasms,0.1
111,Antigua and Barbuda,2010,Noncommunicable diseases,Other neoplasms,0.0
112,Antigua and Barbuda,2010,Noncommunicable diseases,Diabetes mellitus,0.0
113,Antigua and Barbuda,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
114,Antigua and Barbuda,2010,Noncommunicable diseases,Mental and substance use disorders,0.0
115,Antigua and Barbuda,2010,Noncommunicable diseases,Neurological conditions,0.0
116,Antigua and Barbuda,2010,Noncommunicable diseases,Sense organ diseases,0.0
117,Antigua and Barbuda,2010,Noncommunicable diseases,Cardiovascular diseases,0.2
118,Antigua and Barbuda,2010,Noncommunicable diseases,Respiratory diseases,0.0
119,Antigua and Barbuda,2010,Noncommunicable diseases,Digestive diseases,0.0
120,Antigua and Barbuda,2010,Noncommunicable diseases,Genitourinary diseases,0.0
121,Antigua and Barbuda,2010,Noncommunicable diseases,Skin diseases,0.0
122,Antigua and Barbuda,2010,Noncommunicable diseases,Musculoskeletal diseases,0.0
123,Antigua and Barbuda,2010,Noncommunicable diseases,Congenital anomalies,0.0
124,Antigua and Barbuda,2010,Noncommunicable diseases,Oral conditions,0.0
125,Argentina,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",44.6
126,Argentina,2010,All Causes,Noncommunicable diseases,252.7
127,Argentina,2010,All Causes,Injuries,18.7
129,Argentina,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,16.0
130,Argentina,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,22.5
131,Argentina,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.4
132,Argentina,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,4.1
133,Argentina,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,1.7
135,Argentina,2010,Noncommunicable diseases,Malignant neoplasms,63.2
136,Argentina,2010,Noncommunicable diseases,Other neoplasms,2.8
137,Argentina,2010,Noncommunicable diseases,Diabetes mellitus,5.9
138,Argentina,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",3.0
139,Argentina,2010,Noncommunicable diseases,Mental and substance use disorders,1.3
140,Argentina,2010,Noncommunicable diseases,Neurological conditions,6.4
141,Argentina,2010,Noncommunicable diseases,Sense organ diseases,0.0
142,Argentina,2010,Noncommunicable diseases,Cardiovascular diseases,96.8
143,Argentina,2010,Noncommunicable diseases,Respiratory diseases,39.3
144,Argentina,2010,Noncommunicable diseases,Digestive diseases,13.8
145,Argentina,2010,Noncommunicable diseases,Genitourinary diseases,13.9
146,Argentina,2010,Noncommunicable diseases,Skin diseases,1.4
147,Argentina,2010,Noncommunicable diseases,Musculoskeletal diseases,1.1
148,Argentina,2010,Noncommunicable diseases,Congenital anomalies,3.4
149,Argentina,2010,Noncommunicable diseases,Oral conditions,0.0
150,Armenia,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.2
151,Armenia,2010,All Causes,Noncommunicable diseases,25.5
152,Armenia,2010,All Causes,Injuries,1.3
154,Armenia,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.3
155,Armenia,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.5
156,Armenia,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
157,Armenia,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.3
158,Armenia,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
160,Armenia,2010,Noncommunicable diseases,Malignant neoplasms,5.6
161,Armenia,2010,Noncommunicable diseases,Other neoplasms,0.0
162,Armenia,2010,Noncommunicable diseases,Diabetes mellitus,1.3
163,Armenia,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
164,Armenia,2010,Noncommunicable diseases,Mental and substance use disorders,0.0
165,Armenia,2010,Noncommunicable diseases,Neurological conditions,0.1
166,Armenia,2010,Noncommunicable diseases,Sense organ diseases,0.0
167,Armenia,2010,Noncommunicable diseases,Cardiovascular diseases,14.0
168,Armenia,2010,Noncommunicable diseases,Respiratory diseases,1.2
169,Armenia,2010,Noncommunicable diseases,Digestive diseases,1.7
170,Armenia,2010,Noncommunicable diseases,Genitourinary diseases,0.9
171,Armenia,2010,Noncommunicable diseases,Skin diseases,0.0
172,Armenia,2010,Noncommunicable diseases,Musculoskeletal diseases,0.1
173,Armenia,2010,Noncommunicable diseases,Congenital anomalies,0.5
174,Armenia,2010,Noncommunicable diseases,Oral conditions,0.0
175,Australia,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",5.6
176,Australia,2010,All Causes,Noncommunicable diseases,128.3
177,Australia,2010,All Causes,Injuries,7.9
179,Australia,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,2.2
180,Australia,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,2.5
181,Australia,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
182,Australia,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.7
183,Australia,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.2
185,Australia,2010,Noncommunicable diseases,Malignant neoplasms,42.1
186,Australia,2010,Noncommunicable diseases,Other neoplasms,1.0
187,Australia,2010,Noncommunicable diseases,Diabetes mellitus,3.6
188,Australia,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.9
189,Australia,2010,Noncommunicable diseases,Mental and substance use disorders,1.8
190,Australia,2010,Noncommunicable diseases,Neurological conditions,12.5
191,Australia,2010,Noncommunicable diseases,Sense organ diseases,0.0
192,Australia,2010,Noncommunicable diseases,Cardiovascular diseases,44.2
193,Australia,2010,Noncommunicable diseases,Respiratory diseases,10.1
194,Australia,2010,Noncommunicable diseases,Digestive diseases,5.0
195,Australia,2010,Noncommunicable diseases,Genitourinary diseases,3.7
196,Australia,2010,Noncommunicable diseases,Skin diseases,0.4
197,Australia,2010,Noncommunicable diseases,Musculoskeletal diseases,1.2
198,Australia,2010,Noncommunicable diseases,Congenital anomalies,0.7
199,Australia,2010,Noncommunicable diseases,Oral conditions,0.0
200,Austria,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",2.2
201,Austria,2010,All Causes,Noncommunicable diseases,71.7
202,Austria,2010,All Causes,Injuries,4.2
204,Austria,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.7
205,Austria,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.2
206,Austria,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
207,Austria,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
208,Austria,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
210,Austria,2010,Noncommunicable diseases,Malignant neoplasms,20.5
211,Austria,2010,Noncommunicable diseases,Other neoplasms,0.6
212,Austria,2010,Noncommunicable diseases,Diabetes mellitus,2.4
213,Austria,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.1
214,Austria,2010,Noncommunicable diseases,Mental and substance use disorders,0.7
215,Austria,2010,Noncommunicable diseases,Neurological conditions,2.7
216,Austria,2010,Noncommunicable diseases,Sense organ diseases,0.0
217,Austria,2010,Noncommunicable diseases,Cardiovascular diseases,33.6
218,Austria,2010,Noncommunicable diseases,Respiratory diseases,4.0
219,Austria,2010,Noncommunicable diseases,Digestive diseases,3.2
220,Austria,2010,Noncommunicable diseases,Genitourinary diseases,2.1
221,Austria,2010,Noncommunicable diseases,Skin diseases,0.1
222,Austria,2010,Noncommunicable diseases,Musculoskeletal diseases,0.3
223,Austria,2010,Noncommunicable diseases,Congenital anomalies,0.3
224,Austria,2010,Noncommunicable diseases,Oral conditions,0.0
225,Azerbaijan,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",7.3
226,Azerbaijan,2010,All Causes,Noncommunicable diseases,60.6
227,Azerbaijan,2010,All Causes,Injuries,3.4
229,Azerbaijan,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,2.3
230,Azerbaijan,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,2.3
231,Azerbaijan,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.1
232,Azerbaijan,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,2.6
233,Azerbaijan,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
235,Azerbaijan,2010,Noncommunicable diseases,Malignant neoplasms,6.6
236,Azerbaijan,2010,Noncommunicable diseases,Other neoplasms,0.0
237,Azerbaijan,2010,Noncommunicable diseases,Diabetes mellitus,1.8
238,Azerbaijan,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.3
239,Azerbaijan,2010,Noncommunicable diseases,Mental and substance use disorders,0.2
240,Azerbaijan,2010,Noncommunicable diseases,Neurological conditions,1.5
241,Azerbaijan,2010,Noncommunicable diseases,Sense organ diseases,0.0
242,Azerbaijan,2010,Noncommunicable diseases,Cardiovascular diseases,41.8
243,Azerbaijan,2010,Noncommunicable diseases,Respiratory diseases,1.9
244,Azerbaijan,2010,Noncommunicable diseases,Digestive diseases,3.9
245,Azerbaijan,2010,Noncommunicable diseases,Genitourinary diseases,1.7
246,Azerbaijan,2010,Noncommunicable diseases,Skin diseases,0.0
247,Azerbaijan,2010,Noncommunicable diseases,Musculoskeletal diseases,0.0
248,Azerbaijan,2010,Noncommunicable diseases,Congenital anomalies,0.8
249,Azerbaijan,2010,Noncommunicable diseases,Oral conditions,0.0
250,Bahamas,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.3
251,Bahamas,2010,All Causes,Noncommunicable diseases,1.6
252,Bahamas,2010,All Causes,Injuries,0.3
254,Bahamas,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.2
255,Bahamas,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
256,Bahamas,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
257,Bahamas,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
258,Bahamas,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
260,Bahamas,2010,Noncommunicable diseases,Malignant neoplasms,0.3
261,Bahamas,2010,Noncommunicable diseases,Other neoplasms,0.0
262,Bahamas,2010,Noncommunicable diseases,Diabetes mellitus,0.1
263,Bahamas,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
264,Bahamas,2010,Noncommunicable diseases,Mental and substance use disorders,0.0
265,Bahamas,2010,Noncommunicable diseases,Neurological conditions,0.1
266,Bahamas,2010,Noncommunicable diseases,Sense organ diseases,0.0
267,Bahamas,2010,Noncommunicable diseases,Cardiovascular diseases,0.7
268,Bahamas,2010,Noncommunicable diseases,Respiratory diseases,0.0
269,Bahamas,2010,Noncommunicable diseases,Digestive diseases,0.1
270,Bahamas,2010,Noncommunicable diseases,Genitourinary diseases,0.1
271,Bahamas,2010,Noncommunicable diseases,Skin diseases,0.0
272,Bahamas,2010,Noncommunicable diseases,Musculoskeletal diseases,0.0
273,Bahamas,2010,Noncommunicable diseases,Congenital anomalies,0.0
274,Bahamas,2010,Noncommunicable diseases,Oral conditions,0.0
275,Bahrain,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.2
276,Bahrain,2010,All Causes,Noncommunicable diseases,2.8
277,Bahrain,2010,All Causes,Injuries,0.4
279,Bahrain,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.0
280,Bahrain,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
281,Bahrain,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
282,Bahrain,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.1
283,Bahrain,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
285,Bahrain,2010,Noncommunicable diseases,Malignant neoplasms,0.4
286,Bahrain,2010,Noncommunicable diseases,Other neoplasms,0.0
287,Bahrain,2010,Noncommunicable diseases,Diabetes mellitus,0.5
288,Bahrain,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
289,Bahrain,2010,Noncommunicable diseases,Mental and substance use disorders,0.0
290,Bahrain,2010,Noncommunicable diseases,Neurological conditions,0.1
291,Bahrain,2010,Noncommunicable diseases,Sense organ diseases,0.0
292,Bahrain,2010,Noncommunicable diseases,Cardiovascular diseases,1.0
293,Bahrain,2010,Noncommunicable diseases,Respiratory diseases,0.2
294,Bahrain,2010,Noncommunicable diseases,Digestive diseases,0.2
295,Bahrain,2010,Noncommunicable diseases,Genitourinary diseases,0.2
296,Bahrain,2010,Noncommunicable diseases,Skin diseases,0.0
297,Bahrain,2010,Noncommunicable diseases,Musculoskeletal diseases,0.0
298,Bahrain,2010,Noncommunicable diseases,Congenital anomalies,0.1
299,Bahrain,2010,Noncommunicable diseases,Oral conditions,0.0
300,Bangladesh,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",268.5
301,Bangladesh,2010,All Causes,Noncommunicable diseases,484.0
302,Bangladesh,2010,All Causes,Injuries,61.8
304,Bangladesh,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,143.1
305,Bangladesh,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,39.3
306,Bangladesh,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,6.0
307,Bangladesh,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,72.8
308,Bangladesh,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,7.4
310,Bangladesh,2010,Noncommunicable diseases,Malignant neoplasms,87.9
311,Bangladesh,2010,Noncommunicable diseases,Other neoplasms,0.2
312,Bangladesh,2010,Noncommunicable diseases,Diabetes mellitus,22.7
313,Bangladesh,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.3
314,Bangladesh,2010,Noncommunicable diseases,Mental and substance use disorders,2.4
315,Bangladesh,2010,Noncommunicable diseases,Neurological conditions,13.5
316,Bangladesh,2010,Noncommunicable diseases,Sense organ diseases,0.0
317,Bangladesh,2010,Noncommunicable diseases,Cardiovascular diseases,238.6
318,Bangladesh,2010,Noncommunicable diseases,Respiratory diseases,57.4
319,Bangladesh,2010,Noncommunicable diseases,Digestive diseases,32.8
320,Bangladesh,2010,Noncommunicable diseases,Genitourinary diseases,12.0
321,Bangladesh,2010,Noncommunicable diseases,Skin diseases,0.8
322,Bangladesh,2010,Noncommunicable diseases,Musculoskeletal diseases,1.3
323,Bangladesh,2010,Noncommunicable diseases,Congenital anomalies,12.8
324,Bangladesh,2010,Noncommunicable diseases,Oral conditions,0.0
325,Barbados,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.4
326,Barbados,2010,All Causes,Noncommunicable diseases,2.4
327,Barbados,2010,All Causes,Injuries,0.1
329,Barbados,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.2
330,Barbados,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.2
331,Barbados,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
332,Barbados,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
333,Barbados,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
335,Barbados,2010,Noncommunicable diseases,Malignant neoplasms,0.6
336,Barbados,2010,Noncommunicable diseases,Other neoplasms,0.0
337,Barbados,2010,Noncommunicable diseases,Diabetes mellitus,0.2
338,Barbados,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
339,Barbados,2010,Noncommunicable diseases,Mental and substance use disorders,0.0
340,Barbados,2010,Noncommunicable diseases,Neurological conditions,0.1
341,Barbados,2010,Noncommunicable diseases,Sense organ diseases,0.0
342,Barbados,2010,Noncommunicable diseases,Cardiovascular diseases,0.8
343,Barbados,2010,Noncommunicable diseases,Respiratory diseases,0.1
344,Barbados,2010,Noncommunicable diseases,Digestive diseases,0.1
345,Barbados,2010,Noncommunicable diseases,Genitourinary diseases,0.2
346,Barbados,2010,Noncommunicable diseases,Skin diseases,0.1
347,Barbados,2010,Noncommunicable diseases,Musculoskeletal diseases,0.0
348,Barbados,2010,Noncommunicable diseases,Congenital anomalies,0.0
349,Barbados,2010,Noncommunicable diseases,Oral conditions,0.0
350,Belarus,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",2.9
351,Belarus,2010,All Causes,Noncommunicable diseases,121.1
352,Belarus,2010,All Causes,Injuries,11.8
354,Belarus,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.3
355,Belarus,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.4
356,Belarus,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
357,Belarus,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
358,Belarus,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
360,Belarus,2010,Noncommunicable diseases,Malignant neoplasms,21.2
361,Belarus,2010,Noncommunicable diseases,Other neoplasms,0.0
362,Belarus,2010,Noncommunicable diseases,Diabetes mellitus,0.4
363,Belarus,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
364,Belarus,2010,Noncommunicable diseases,Mental and substance use disorders,3.4
365,Belarus,2010,Noncommunicable diseases,Neurological conditions,3.8
366,Belarus,2010,Noncommunicable diseases,Sense organ diseases,0.0
367,Belarus,2010,Noncommunicable diseases,Cardiovascular diseases,82.6
368,Belarus,2010,Noncommunicable diseases,Respiratory diseases,2.8
369,Belarus,2010,Noncommunicable diseases,Digestive diseases,5.3
370,Belarus,2010,Noncommunicable diseases,Genitourinary diseases,1.1
371,Belarus,2010,Noncommunicable diseases,Skin diseases,0.0
372,Belarus,2010,Noncommunicable diseases,Musculoskeletal diseases,0.0
373,Belarus,2010,Noncommunicable diseases,Congenital anomalies,0.3
374,Belarus,2010,Noncommunicable diseases,Oral conditions,0.0
375,Belgium,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",7.9
376,Belgium,2010,All Causes,Noncommunicable diseases,93.6
377,Belgium,2010,All Causes,Injuries,6.7
379,Belgium,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,2.8
380,Belgium,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,4.5
381,Belgium,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
382,Belgium,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
383,Belgium,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.3
385,Belgium,2010,Noncommunicable diseases,Malignant neoplasms,29.4
386,Belgium,2010,Noncommunicable diseases,Other neoplasms,1.0
387,Belgium,2010,Noncommunicable diseases,Diabetes mellitus,1.4
388,Belgium,2010,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.3
389,Belgium,2010,Noncommunicable diseases,Mental and substance use disorders,0.7
390,Belgium,2010,Noncommunicable diseases,Neurological conditions,8.5
391,Belgium,2010,Noncommunicable diseases,Sense organ diseases,0.0
392,Belgium,2010,Noncommunicable diseases,Cardiovascular diseases,33.1
393,Belgium,2010,Noncommunicable diseases,Respiratory diseases,9.1
394,Belgium,2010,Noncommunicable diseases,Digestive diseases,4.8
395,Belgium,2010,Noncommunicable diseases,Genitourinary diseases,3.0
396,Belgium,2010,Noncommunicable diseases,Skin diseases,0.3
397,Belgium,2010,Noncommunicable diseases,Musculoskeletal diseases,0.5
398,Belgium,2010,Noncommunicable diseases,Congenital anomalies,0.3
399,Belgium,2010,Noncommunicable diseases,Oral conditions,0.0
400,Belize,2010,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.3
401,Belize,2010,All Causes,Noncommunicable diseases,0.9
402,Belize,2010,All Causes,Injuries,0.3
404,Belize,2010,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.1
405,Belize,2010,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
406,Belize,2010,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
407,Belize,2010,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.1
408,Belize,2010,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
