,Year,LifeExpectancy,Status
1068,2005,69.2,Developing
1069,2004,69.6,Developing
1070,2003,69.4,Developing
1071,2002,69.3,Developing
1072,2001,68.4,Developing
1073,2000,67.7,Developing
1074,2015,59.0,Developing
1075,2014,58.1,Developing
1076,2013,58.8,Developing
1077,2012,58.4,Developing
1078,2011,58.1,Developing
1079,2010,57.8,Developing
1080,2009,57.3,Developing
1081,2008,56.8,Developing
1082,2007,56.4,Developing
1083,2006,55.6,Developing
1084,2005,54.7,Developing
1085,2004,54.0,Developing
1086,2003,53.3,Developing
1087,2002,52.9,Developing
1088,2001,52.5,Developing
1089,2000,52.5,Developing
1090,2015,58.9,Developing
1091,2014,58.4,Developing
1092,2013,58.1,Developing
1093,2012,57.6,Developing
1094,2011,57.1,Developing
1095,2010,56.7,Developing
1096,2009,56.3,Developing
1097,2008,55.6,Developing
1098,2007,55.0,Developing
1099,2006,54.4,Developing
1100,2005,53.9,Developing
1101,2004,53.5,Developing
1102,2003,53.0,Developing
1103,2002,52.8,Developing
1104,2001,52.5,Developing
1105,2000,52.1,Developing
1106,2015,66.2,Developing
1107,2014,66.0,Developing
1108,2013,65.9,Developing
1109,2012,65.8,Developing
1110,2011,65.6,Developing
1111,2010,65.9,Developing
1112,2009,66.1,Developing
1113,2008,66.3,Developing
1114,2007,65.7,Developing
1115,2006,65.2,Developing
1116,2005,65.0,Developing
1117,2004,65.1,Developing
1118,2003,65.3,Developing
1119,2002,65.3,Developing
1120,2001,65.4,Developing
1121,2000,65.4,Developing
1122,2015,63.5,Developing
1123,2014,63.1,Developing
1124,2013,62.7,Developing
1125,2012,62.3,Developing
1126,2011,62.3,Developing
1127,2010,36.3,Developing
1128,2009,62.5,Developing
1129,2008,62.1,Developing
1130,2007,61.8,Developing
1131,2006,61.1,Developing
1132,2005,65.0,Developing
1133,2004,58.7,Developing
1134,2003,59.7,Developing
1135,2002,59.3,Developing
1136,2001,58.9,Developing
1137,2000,58.6,Developing
1138,2015,74.6,Developing
1139,2014,74.5,Developing
1140,2013,74.3,Developing
1141,2012,74.1,Developing
1142,2011,73.9,Developing
1143,2010,73.6,Developing
1144,2009,73.4,Developing
1145,2008,73.2,Developing
1146,2007,73.0,Developing
1147,2006,72.8,Developing
1148,2005,72.5,Developing
1149,2004,72.2,Developing
1150,2003,71.9,Developing
1151,2002,71.6,Developing
1152,2001,71.3,Developing
1153,2000,71.0,Developing
1154,2015,75.8,Developed
1155,2014,75.6,Developed
1156,2013,75.5,Developed
1157,2012,75.0,Developed
1158,2011,74.8,Developed
1159,2010,74.5,Developed
1160,2009,74.2,Developed
1161,2008,74.1,Developed
1162,2007,73.5,Developed
1163,2006,73.4,Developed
1164,2005,72.9,Developed
1165,2004,72.9,Developed
1166,2003,72.5,Developed
1167,2002,72.5,Developed
1168,2001,72.3,Developed
1169,2000,71.7,Developed
1170,2015,82.7,Developed
1171,2014,82.5,Developed
1172,2013,82.4,Developed
1173,2012,82.5,Developed
1174,2011,82.1,Developed
1175,2010,81.8,Developed
1176,2009,81.6,Developed
1177,2008,81.4,Developed
1178,2007,81.3,Developed
1179,2006,81.1,Developed
1180,2005,81.0,Developed
1181,2004,88.0,Developed
1182,2003,87.0,Developed
1183,2002,84.0,Developed
1184,2001,80.0,Developed
1185,2000,79.7,Developed
1186,2015,68.3,Developing
1187,2014,68.0,Developing
1188,2013,67.6,Developing
1189,2012,67.3,Developing
1190,2011,66.8,Developing
1191,2010,66.4,Developing
1192,2009,66.0,Developing
1193,2008,65.5,Developing
1194,2007,65.2,Developing
1195,2006,64.8,Developing
1196,2005,64.4,Developing
1197,2004,64.0,Developing
1198,2003,63.7,Developing
1199,2002,63.3,Developing
1200,2001,62.9,Developing
1201,2000,62.5,Developing
1202,2015,69.1,Developing
1203,2014,68.9,Developing
1204,2013,68.7,Developing
1205,2012,68.5,Developing
1206,2011,68.3,Developing
1207,2010,68.1,Developing
1208,2009,67.9,Developing
1209,2008,67.7,Developing
1210,2007,67.5,Developing
1211,2006,67.3,Developing
1212,2005,67.2,Developing
1213,2004,65.3,Developing
1214,2003,66.9,Developing
1215,2002,66.7,Developing
1216,2001,66.5,Developing
1217,2000,66.3,Developing
1218,2015,75.5,Developing
1219,2014,75.4,Developing
1220,2013,75.3,Developing
1221,2012,75.1,Developing
1222,2011,74.7,Developing
1223,2010,74.1,Developing
1224,2009,73.3,Developing
1225,2008,72.7,Developing
1226,2007,72.4,Developing
1227,2006,72.2,Developing
1228,2005,72.0,Developing
1229,2004,71.8,Developing
1230,2003,75.0,Developing
1231,2002,71.2,Developing
1232,2001,78.0,Developing
1233,2000,73.0,Developing
1234,2015,68.9,Developing
1235,2014,67.9,Developing
1236,2013,69.5,Developing
1237,2012,76.0,Developing
1238,2011,77.0,Developing
1239,2010,76.0,Developing
1240,2009,74.0,Developing
1241,2008,69.3,Developing
1242,2007,65.9,Developing
1243,2006,64.7,Developing
1244,2005,66.8,Developing
1245,2004,67.2,Developing
1246,2003,66.5,Developing
1247,2002,74.0,Developing
1248,2001,72.0,Developing
1249,2000,70.0,Developing
1250,2015,81.4,Developed
1251,2014,81.2,Developed
1252,2013,81.0,Developed
1253,2012,85.0,Developed
1254,2011,84.0,Developed
1255,2010,86.0,Developed
1256,2009,79.7,Developed
1257,2008,79.8,Developed
1258,2007,79.5,Developed
1259,2006,79.0,Developed
1260,2005,78.7,Developed
1261,2004,78.3,Developed
1262,2003,78.0,Developed
1263,2002,77.4,Developed
1264,2001,77.0,Developed
1265,2000,76.4,Developed
1266,2015,82.5,Developing
1267,2014,82.2,Developing
1268,2013,82.1,Developing
1269,2012,81.8,Developing
1270,2011,81.8,Developing
1271,2010,81.7,Developing
1272,2009,81.5,Developing
1273,2008,81.0,Developing
1274,2007,84.0,Developing
1275,2006,84.0,Developing
1276,2005,80.0,Developing
1277,2004,81.0,Developing
1278,2003,79.7,Developing
1279,2002,79.3,Developing
1280,2001,79.3,Developing
1281,2000,78.9,Developing
1282,2015,82.7,Developed
1283,2014,82.5,Developed
1284,2013,82.3,Developed
1285,2012,82.0,Developed
1286,2011,82.0,Developed
1287,2010,81.8,Developed
1288,2009,81.6,Developed
1289,2008,81.5,Developed
1290,2007,81.3,Developed
1291,2006,81.2,Developed
1292,2005,88.0,Developed
1293,2004,89.0,Developed
1294,2003,79.9,Developed
1295,2002,80.0,Developed
1296,2001,79.8,Developed
1297,2000,79.4,Developed
1298,2015,76.2,Developing
1299,2014,75.8,Developing
1300,2013,75.6,Developing
1301,2012,75.3,Developing
1302,2011,75.2,Developing
1303,2010,75.0,Developing
1304,2009,74.7,Developing
1305,2008,74.5,Developing
1306,2007,74.2,Developing
1307,2006,74.0,Developing
1308,2005,73.5,Developing
1309,2004,73.3,Developing
1310,2003,73.1,Developing
1311,2002,73.0,Developing
1312,2001,72.7,Developing
1313,2000,72.6,Developing
1314,2015,83.7,Developed
1315,2014,83.5,Developed
1316,2013,83.5,Developed
1317,2012,83.3,Developed
1318,2011,82.5,Developed
1319,2010,83.0,Developed
1320,2009,83.0,Developed
1321,2008,82.7,Developed
1322,2007,82.6,Developed
1323,2006,82.4,Developed
1324,2005,82.0,Developed
1325,2004,82.1,Developed
1326,2003,81.9,Developed
1327,2002,81.8,Developed
1328,2001,81.5,Developed
1329,2000,81.1,Developed
1330,2015,74.1,Developing
1331,2014,74.0,Developing
1332,2013,73.9,Developing
1333,2012,73.7,Developing
1334,2011,73.6,Developing
1335,2010,73.4,Developing
1336,2009,73.3,Developing
1337,2008,73.1,Developing
1338,2007,73.0,Developing
1339,2006,72.8,Developing
1340,2005,72.4,Developing
1341,2004,72.5,Developing
1342,2003,72.3,Developing
1343,2002,72.1,Developing
1344,2001,71.9,Developing
1345,2000,71.7,Developing
1346,2015,72.0,Developing
1347,2014,69.9,Developing
1348,2013,69.5,Developing
1349,2012,69.1,Developing
1350,2011,68.5,Developing
1351,2010,67.8,Developing
1352,2009,67.8,Developing
1353,2008,66.6,Developing
1354,2007,65.3,Developing
1355,2006,65.0,Developing
1356,2005,64.6,Developing
1357,2004,64.7,Developing
1358,2003,64.4,Developing
1359,2002,64.7,Developing
1360,2001,64.4,Developing
1361,2000,63.9,Developing
1362,2015,63.4,Developing
1363,2014,62.9,Developing
1364,2013,62.6,Developing
1365,2012,62.1,Developing
1366,2011,61.2,Developing
1367,2010,63.0,Developing
1368,2009,59.1,Developing
1369,2008,57.9,Developing
1370,2007,56.8,Developing
1371,2006,55.3,Developing
1372,2005,54.1,Developing
1373,2004,53.0,Developing
1374,2003,52.4,Developing
1375,2002,52.1,Developing
1376,2001,51.9,Developing
1377,2000,51.9,Developing
1378,2015,66.3,Developing
1379,2014,66.1,Developing
1380,2013,65.8,Developing
1381,2012,65.7,Developing
1382,2011,65.5,Developing
1383,2010,65.3,Developing
1384,2009,65.2,Developing
1385,2008,65.1,Developing
1386,2007,65.0,Developing
1387,2006,65.0,Developing
1388,2005,64.9,Developing
1389,2004,64.8,Developing
1390,2003,64.7,Developing
1391,2002,64.6,Developing
1392,2001,64.3,Developing
1393,2000,64.1,Developing
1394,2015,74.7,Developing
1395,2014,74.6,Developing
1396,2013,74.5,Developing
1397,2012,74.3,Developing
1398,2011,74.2,Developing
1399,2010,74.0,Developing
1400,2009,73.9,Developing
1401,2008,73.8,Developing
1402,2007,73.7,Developing
1403,2006,73.6,Developing
1404,2005,73.6,Developing
1405,2004,73.5,Developing
1406,2003,73.4,Developing
1407,2002,73.3,Developing
1408,2001,73.2,Developing
1409,2000,73.2,Developing
1410,2015,71.1,Developing
1411,2014,78.0,Developing
1412,2013,77.0,Developing
1413,2012,69.9,Developing
1414,2011,69.4,Developing
1415,2010,68.8,Developing
1416,2009,68.5,Developing
1417,2008,67.6,Developing
1418,2007,67.2,Developing
1419,2006,66.7,Developing
1420,2005,66.9,Developing
1421,2004,67.1,Developing
1422,2003,66.6,Developing
1423,2002,66.7,Developing
1424,2001,67.2,Developing
1425,2000,66.6,Developing
1426,2015,65.7,Developing
1427,2014,65.3,Developing
1428,2013,64.9,Developing
1429,2012,64.4,Developing
1430,2011,64.0,Developing
1431,2010,63.6,Developing
1432,2009,63.1,Developing
1433,2008,62.6,Developing
1434,2007,62.1,Developing
1435,2006,61.5,Developing
1436,2005,61.0,Developing
1437,2004,64.0,Developing
1438,2003,59.8,Developing
1439,2002,59.3,Developing
1440,2001,58.7,Developing
1441,2000,58.1,Developing
1442,2015,74.6,Developed
1443,2014,74.4,Developed
1444,2013,74.1,Developed
1445,2012,73.8,Developed
1446,2011,73.6,Developed
1447,2010,72.8,Developed
1448,2009,72.6,Developed
1449,2008,71.9,Developed
1450,2007,78.0,Developed
1451,2006,75.0,Developed
1452,2005,76.0,Developed
1453,2004,71.0,Developed
1454,2003,78.0,Developed
1455,2002,73.0,Developed
1456,2001,69.9,Developed
1457,2000,71.0,Developed
1458,2015,74.9,Developing
1459,2014,74.8,Developing
1460,2013,74.9,Developing
1461,2012,75.0,Developing
1462,2011,75.0,Developing
1463,2010,74.9,Developing
1464,2009,74.7,Developing
1465,2008,74.5,Developing
1466,2007,74.4,Developing
1467,2006,74.1,Developing
1468,2005,73.9,Developing
1469,2004,73.7,Developing
1470,2003,73.5,Developing
1471,2002,73.2,Developing
1472,2001,73.0,Developing
1473,2000,72.7,Developing
1474,2015,53.7,Developing
1475,2014,52.1,Developing
1476,2013,52.1,Developing
1477,2012,52.2,Developing
1478,2011,52.3,Developing
1479,2010,51.1,Developing
1480,2009,49.4,Developing
1481,2008,47.8,Developing
1482,2007,46.2,Developing
1483,2006,45.3,Developing
1484,2005,44.5,Developing
1485,2004,44.8,Developing
1486,2003,45.5,Developing
1487,2002,46.4,Developing
1488,2001,47.8,Developing
1489,2000,49.3,Developing
1490,2015,61.4,Developing
1491,2014,58.1,Developing
1492,2013,61.1,Developing
1493,2012,67.0,Developing
1494,2011,62.0,Developing
1495,2010,59.7,Developing
1496,2009,59.2,Developing
1497,2008,58.6,Developing
1498,2007,57.9,Developing
1499,2006,56.7,Developing
1500,2005,55.3,Developing
1501,2004,54.0,Developing
1502,2003,50.0,Developing
1503,2002,56.0,Developing
1504,2001,51.5,Developing
1505,2000,51.9,Developing
1506,2015,72.7,Developing
1507,2014,72.4,Developing
1508,2013,72.9,Developing
1509,2012,72.9,Developing
1510,2011,71.3,Developing
1511,2010,72.8,Developing
1512,2009,72.7,Developing
1513,2008,72.6,Developing
1514,2007,72.5,Developing
1515,2006,72.2,Developing
1516,2005,71.9,Developing
1517,2004,71.5,Developing
1518,2003,71.3,Developing
1519,2002,71.1,Developing
1520,2001,71.0,Developing
1521,2000,78.0,Developing
1522,2015,73.6,Developed
1523,2014,73.4,Developed
1524,2013,73.0,Developed
1525,2012,73.0,Developed
1526,2011,72.8,Developed
1527,2010,72.4,Developed
1528,2009,72.2,Developed
1529,2008,71.1,Developed
1530,2007,72.0,Developed
1531,2006,76.0,Developed
1532,2005,78.0,Developed
1533,2004,71.6,Developed
1534,2003,71.6,Developed
1535,2002,71.4,Developed
1536,2001,71.2,Developed
1537,2000,71.6,Developed
1538,2015,82.0,Developed
1539,2014,81.7,Developed
1540,2013,81.4,Developed
1541,2012,81.1,Developed
1542,2011,88.0,Developed
1543,2010,86.0,Developed
1544,2009,83.0,Developed
1545,2008,80.0,Developed
1546,2007,79.7,Developed
1547,2006,79.4,Developed
1548,2005,78.8,Developed
1549,2004,78.7,Developed
1550,2003,78.6,Developed
1551,2002,78.3,Developed
1552,2001,78.0,Developed
1553,2000,77.8,Developed
1554,2015,65.5,Developing
1555,2014,65.1,Developing
1556,2013,64.7,Developing
1557,2012,64.3,Developing
1558,2011,63.8,Developing
1559,2010,63.3,Developing
1560,2009,62.8,Developing
1561,2008,62.3,Developing
1562,2007,61.9,Developing
1563,2006,61.4,Developing
1564,2005,69.0,Developing
1565,2004,64.0,Developing
1566,2003,59.9,Developing
1567,2002,59.3,Developing
1568,2001,58.7,Developing
1569,2000,57.9,Developing
1570,2015,58.3,Developing
1571,2014,57.6,Developing
1572,2013,56.7,Developing
1573,2012,55.3,Developing
1574,2011,54.1,Developing
1575,2010,52.9,Developing
1576,2009,51.5,Developing
1577,2008,50.0,Developing
1578,2007,48.5,Developing
1579,2006,47.1,Developing
1580,2005,46.0,Developing
1581,2004,45.1,Developing
1582,2003,44.6,Developing
1583,2002,44.0,Developing
1584,2001,43.5,Developing
1585,2000,43.1,Developing
1586,2015,75.0,Developing
1587,2014,74.8,Developing
1588,2013,74.6,Developing
1589,2012,74.5,Developing
1590,2011,74.3,Developing
1591,2010,74.1,Developing
1592,2009,74.0,Developing
1593,2008,73.8,Developing
1594,2007,73.7,Developing
1595,2006,73.6,Developing
1596,2005,73.4,Developing
1597,2004,73.2,Developing
1598,2003,73.1,Developing
1599,2002,72.9,Developing
1600,2001,72.7,Developing
1601,2000,72.4,Developing
1602,2015,78.5,Developing
1603,2014,78.2,Developing
1604,2013,77.9,Developing
1605,2012,77.6,Developing
1606,2011,77.3,Developing
1607,2010,76.7,Developing
1608,2009,76.3,Developing
1609,2008,75.9,Developing
1610,2007,75.4,Developing
1611,2006,75.0,Developing
1612,2005,74.3,Developing
1613,2004,73.4,Developing
1614,2003,72.7,Developing
1615,2002,71.8,Developing
1616,2001,78.0,Developing
1617,2000,69.6,Developing
1618,2015,58.2,Developing
1619,2014,57.8,Developing
1620,2013,57.3,Developing
1621,2012,57.2,Developing
1622,2011,56.8,Developing
1623,2010,56.5,Developing
1624,2009,56.0,Developing
1625,2008,55.5,Developing
1626,2007,55.0,Developing
1627,2006,54.3,Developing
1628,2005,53.6,Developing
1629,2004,52.8,Developing
1630,2003,52.0,Developing
1631,2002,51.2,Developing
1632,2001,55.0,Developing
1633,2000,49.8,Developing
1634,2015,81.7,Developed
1635,2014,81.4,Developed
1636,2013,81.1,Developed
1637,2012,81.0,Developed
1638,2011,87.0,Developed
1639,2010,83.0,Developed
1640,2009,82.0,Developed
1641,2008,80.0,Developed
1642,2007,79.6,Developed
1643,2006,79.3,Developed
1644,2005,79.0,Developed
1645,2004,78.7,Developed
1646,2003,78.5,Developed
1647,2002,78.2,Developed
1648,2001,77.8,Developed
1649,2000,77.5,Developed
1650,2013,69.22493169398908,Developing
1651,2015,63.1,Developing
1652,2014,63.0,Developing
1653,2013,62.7,Developing
1654,2012,62.5,Developing
1655,2011,62.2,Developing
1656,2010,62.0,Developing
1657,2009,61.7,Developing
1658,2008,61.4,Developing
1659,2007,61.2,Developing
1660,2006,69.0,Developing
1661,2005,66.0,Developing
1662,2004,64.0,Developing
1663,2003,63.0,Developing
1664,2002,62.0,Developing
1665,2001,61.0,Developing
1666,2000,60.0,Developing
1667,2015,74.6,Developing
1668,2014,74.2,Developing
1669,2013,74.1,Developing
1670,2012,73.9,Developing
1671,2011,73.6,Developing
1672,2010,73.3,Developing
1673,2009,72.8,Developing
1674,2008,72.7,Developing
1675,2007,72.9,Developing
1676,2006,71.8,Developing
1677,2005,72.1,Developing
1678,2004,71.9,Developing
1679,2003,71.5,Developing
1680,2002,71.5,Developing
1681,2001,71.5,Developing
1682,2000,71.0,Developing
1683,2015,76.7,Developing
1684,2014,76.6,Developing
1685,2013,76.6,Developing
1686,2012,76.3,Developing
1687,2011,76.1,Developing
1688,2010,75.6,Developing
1689,2009,75.7,Developing
1690,2008,75.6,Developing
1691,2007,76.0,Developing
1692,2006,75.8,Developing
1693,2005,75.3,Developing
1694,2004,75.4,Developing
1695,2003,75.0,Developing
1696,2002,75.0,Developing
1697,2001,75.0,Developing
1698,2000,74.8,Developing
1699,2015,69.4,Developing
1700,2014,69.4,Developing
1701,2013,69.2,Developing
1702,2012,69.0,Developing
1703,2011,68.9,Developing
1704,2010,68.7,Developing
1705,2009,68.5,Developing
1706,2008,68.4,Developing
1707,2007,68.2,Developing
1708,2006,68.0,Developing
1709,2005,67.9,Developing
1710,2004,67.7,Developing
1711,2003,67.5,Developing
1712,2002,66.2,Developing
1713,2001,67.2,Developing
1714,2000,67.0,Developing
1715,2013,69.22493169398908,Developing
1716,2015,68.8,Developing
1717,2014,68.4,Developing
1718,2013,68.1,Developing
1719,2012,67.8,Developing
1720,2011,67.3,Developing
1721,2010,66.3,Developing
1722,2009,66.9,Developing
1723,2008,67.4,Developing
1724,2007,65.9,Developing
1725,2006,65.0,Developing
1726,2005,64.5,Developing
1727,2004,64.0,Developing
1728,2003,64.0,Developing
1729,2002,63.8,Developing
1730,2001,63.2,Developing
1731,2000,62.8,Developing
1732,2015,76.1,Developing
1733,2014,75.9,Developing
1734,2013,75.8,Developing
1735,2012,75.6,Developing
1736,2011,75.4,Developing
1737,2010,75.3,Developing
1738,2009,75.0,Developing
1739,2008,74.6,Developing
1740,2007,74.2,Developing
1741,2006,73.8,Developing
1742,2005,73.6,Developing
1743,2004,73.5,Developing
1744,2003,73.5,Developing
1745,2002,73.4,Developing
1746,2001,73.3,Developing
1747,2000,73.0,Developing
1748,2015,74.3,Developing
1749,2014,74.1,Developing
1750,2013,73.9,Developing
1751,2012,73.6,Developing
1752,2011,73.3,Developing
1753,2010,72.8,Developing
1754,2009,72.3,Developing
1755,2008,71.8,Developing
1756,2007,71.4,Developing
1757,2006,71.0,Developing
1758,2005,77.0,Developing
1759,2004,72.0,Developing
1760,2003,69.9,Developing
1761,2002,69.5,Developing
1762,2001,69.0,Developing
1763,2000,68.6,Developing
1764,2015,57.6,Developing
1765,2014,56.7,Developing
1766,2013,55.3,Developing
1767,2012,54.8,Developing
1768,2011,54.3,Developing
1769,2010,54.0,Developing
1770,2009,53.8,Developing
1771,2008,53.2,Developing
1772,2007,52.1,Developing
1773,2006,51.2,Developing
1774,2005,58.0,Developing
1775,2004,54.0,Developing
1776,2003,51.0,Developing
1777,2002,49.8,Developing
1778,2001,49.5,Developing
1779,2000,49.0,Developing
1780,2015,66.6,Developing
1781,2014,66.4,Developing
1782,2013,66.2,Developing
1783,2012,65.9,Developing
1784,2011,65.6,Developing
1785,2010,65.4,Developing
1786,2009,65.2,Developing
1787,2008,59.2,Developing
1788,2007,64.5,Developing
1789,2006,64.2,Developing
1790,2005,63.9,Developing
1791,2004,63.5,Developing
1792,2003,63.2,Developing
1793,2002,62.8,Developing
1794,2001,62.5,Developing
1795,2000,62.1,Developing
1796,2015,65.8,Developing
1797,2014,65.9,Developing
1798,2013,66.1,Developing
1799,2012,65.8,Developing
1800,2011,64.3,Developing
1801,2010,63.0,Developing
1802,2009,62.4,Developing
1803,2008,61.7,Developing
1804,2007,60.0,Developing
1805,2006,57.0,Developing
1806,2005,55.1,Developing
1807,2004,54.7,Developing
1808,2003,55.0,Developing
1809,2002,55.7,Developing
1810,2001,56.5,Developing
1811,2000,57.4,Developing
1812,2013,69.22493169398908,Developing
1813,2015,69.2,Developing
1814,2014,69.6,Developing
1815,2013,69.3,Developing
1816,2012,68.9,Developing
1817,2011,68.4,Developing
1818,2010,68.0,Developing
1819,2009,67.5,Developing
1820,2008,67.0,Developing
1821,2007,66.6,Developing
1822,2006,66.0,Developing
1823,2005,65.4,Developing
1824,2004,64.7,Developing
1825,2003,64.3,Developing
1826,2002,63.1,Developing
1827,2001,63.2,Developing
1828,2000,62.5,Developing
1829,2015,81.9,Developed
1830,2014,81.7,Developed
1831,2013,81.4,Developed
1832,2012,81.1,Developed
1833,2011,81.1,Developed
1834,2010,88.0,Developed
1835,2009,86.0,Developed
1836,2008,83.0,Developed
1837,2007,82.0,Developed
1838,2006,79.8,Developed
1839,2005,79.4,Developed
1840,2004,79.2,Developed
1841,2003,78.7,Developed
1842,2002,78.4,Developed
1843,2001,78.3,Developed
1844,2000,78.1,Developed
1845,2015,81.6,Developed
1846,2014,81.5,Developed
1847,2013,81.3,Developed
1848,2012,81.1,Developed
1849,2011,86.0,Developed
1850,2010,89.0,Developed
1851,2009,85.0,Developed
1852,2008,81.0,Developed
1853,2007,81.0,Developed
1854,2006,79.9,Developed
1855,2005,79.9,Developed
1856,2004,79.2,Developed
1857,2003,79.1,Developed
1858,2002,78.7,Developed
1859,2001,78.5,Developed
1860,2000,78.6,Developed
1861,2015,74.8,Developing
1862,2014,74.5,Developing
1863,2013,73.9,Developing
1864,2012,73.9,Developing
1865,2011,74.5,Developing
1866,2010,73.2,Developing
1867,2009,73.2,Developing
1868,2008,72.5,Developing
1869,2007,72.5,Developing
1870,2006,73.0,Developing
1871,2005,71.2,Developing
1872,2004,71.0,Developing
1873,2003,76.0,Developing
1874,2002,75.0,Developing
1875,2001,73.0,Developing
1876,2000,73.0,Developing
1877,2015,61.8,Developing
1878,2014,61.4,Developing
1879,2013,69.0,Developing
1880,2012,63.0,Developing
1881,2011,59.4,Developing
1882,2010,58.2,Developing
1883,2009,57.1,Developing
1884,2008,56.0,Developing
1885,2007,55.2,Developing
1886,2006,54.5,Developing
1887,2005,53.7,Developing
1888,2004,52.9,Developing
1889,2003,52.1,Developing
1890,2002,51.4,Developing
1891,2001,56.0,Developing
1892,2000,50.0,Developing
1893,2015,54.5,Developing
1894,2014,53.6,Developing
1895,2013,53.2,Developing
1896,2012,52.7,Developing
1897,2011,52.3,Developing
1898,2010,52.0,Developing
1899,2009,51.6,Developing
1900,2008,59.0,Developing
1901,2007,55.0,Developing
1902,2006,49.8,Developing
1903,2005,49.2,Developing
1904,2004,48.5,Developing
1905,2003,48.1,Developing
1906,2002,47.7,Developing
1907,2001,47.4,Developing
1908,2000,47.1,Developing
1909,2013,69.22493169398908,Developing
1910,2015,81.8,Developed
1911,2014,81.6,Developed
1912,2013,81.5,Developed
1913,2012,81.3,Developed
1914,2011,81.1,Developed
1915,2010,81.0,Developed
1916,2009,89.0,Developed
1917,2008,86.0,Developed
1918,2007,85.0,Developed
1919,2006,84.0,Developed
1920,2005,81.0,Developed
1921,2004,79.8,Developed
1922,2003,79.4,Developed
1923,2002,78.9,Developed
1924,2001,78.8,Developed
1925,2000,78.5,Developed
1926,2015,76.6,Developing
1927,2014,76.4,Developing
1928,2013,76.2,Developing
1929,2012,76.0,Developing
1930,2011,75.8,Developing
1931,2010,75.6,Developing
1932,2009,75.4,Developing
1933,2008,75.2,Developing
1934,2007,74.9,Developing
1935,2006,74.7,Developing
1936,2005,74.3,Developing
1937,2004,74.0,Developing
1938,2003,73.6,Developing
1939,2002,73.3,Developing
1940,2001,72.9,Developing
1941,2000,72.6,Developing
1942,2015,66.4,Developing
1943,2014,66.2,Developing
1944,2013,66.0,Developing
1945,2012,65.7,Developing
1946,2011,65.5,Developing
1947,2010,65.1,Developing
1948,2009,64.8,Developing
1949,2008,64.6,Developing
1950,2007,64.4,Developing
1951,2006,64.2,Developing
1952,2005,62.9,Developing
1953,2004,63.7,Developing
1954,2003,63.5,Developing
1955,2002,63.2,Developing
1956,2001,63.0,Developing
1957,2000,62.8,Developing
1958,2013,69.22493169398908,Developing
1959,2015,77.8,Developing
1960,2014,77.6,Developing
1961,2013,77.5,Developing
1962,2012,77.2,Developing
1963,2011,77.3,Developing
1964,2010,76.5,Developing
1965,2009,76.8,Developing
1966,2008,76.5,Developing
1967,2007,76.4,Developing
1968,2006,76.2,Developing
1969,2005,75.8,Developing
1970,2004,75.8,Developing
1971,2003,75.5,Developing
1972,2002,75.7,Developing
1973,2001,75.5,Developing
1974,2000,75.7,Developing
1975,2015,62.9,Developing
1976,2014,62.7,Developing
1977,2013,62.4,Developing
1978,2012,62.2,Developing
1979,2011,62.0,Developing
1980,2010,61.8,Developing
1981,2009,61.6,Developing
1982,2008,61.4,Developing
1983,2007,61.1,Developing
1984,2006,68.0,Developing
1985,2005,64.0,Developing
1986,2004,59.9,Developing
1987,2003,59.6,Developing
1988,2002,59.3,Developing
1989,2001,59.1,Developing
1990,2000,58.9,Developing
1991,2015,74.0,Developing
1992,2014,73.9,Developing
1993,2013,73.8,Developing
1994,2012,73.6,Developing
1995,2011,73.4,Developing
1996,2010,73.2,Developing
1997,2009,73.0,Developing
1998,2008,72.7,Developing
1999,2007,72.5,Developing
2000,2006,72.3,Developing
2001,2005,72.1,Developing
2002,2004,71.9,Developing
2003,2003,71.7,Developing
2004,2002,71.5,Developing
2005,2001,71.2,Developing
2006,2000,79.0,Developing
2007,2015,75.5,Developing
2008,2014,75.3,Developing
2009,2013,75.3,Developing
2010,2012,74.9,Developing
2011,2011,74.5,Developing
2012,2010,73.7,Developing
2013,2009,73.8,Developing
2014,2008,73.9,Developing
2015,2007,74.0,Developing
2016,2006,74.2,Developing
2017,2005,72.8,Developing
2018,2004,72.2,Developing
2019,2003,72.1,Developing
2020,2002,72.6,Developing
2021,2001,72.4,Developing
2022,2000,71.4,Developing
2023,2015,68.5,Developing
2024,2014,68.4,Developing
2025,2013,68.1,Developing
2026,2012,68.1,Developing
2027,2011,68.0,Developing
2028,2010,67.9,Developing
2029,2009,68.0,Developing
2030,2008,67.5,Developing
2031,2007,67.5,Developing
2032,2006,67.3,Developing
2033,2005,67.0,Developing
2034,2004,67.3,Developing
2035,2003,67.2,Developing
2036,2002,66.8,Developing
2037,2001,66.8,Developing
2038,2000,66.8,Developing
2039,2015,77.5,Developed
2040,2014,77.3,Developed
2041,2013,77.1,Developed
2042,2012,76.8,Developed
2043,2011,76.7,Developed
2044,2010,76.3,Developed
2045,2009,75.7,Developed
2046,2008,75.5,Developed
2047,2007,75.3,Developed
2048,2006,75.2,Developed
2049,2005,75.0,Developed
2050,2004,74.9,Developed
2051,2003,74.7,Developed
2052,2002,74.5,Developed
2053,2001,74.2,Developed
2054,2000,73.7,Developed
2055,2015,81.1,Developed
2056,2014,89.0,Developed
2057,2013,86.0,Developed
2058,2012,83.0,Developed
2059,2011,82.0,Developed
2060,2010,79.6,Developed
2061,2009,79.3,Developed
2062,2008,79.0,Developed
2063,2007,78.7,Developed
2064,2006,78.5,Developed
